과 목,주석,제 53 (당) 기,제 53 (당) 기_2,제 52 (전) 기,제 52 (전) 기_2
자 산,,,,,
Ⅰ. 유 동 자 산,,,73553416.0,,73798549.0
1. 현금및현금성자산,"4, 28",3918872.0,,989045.0,
2. 단기금융상품,"4, 28",15000576.0,,29101284.0,
3. 매출채권,"4, 5, 7, 28",33088247.0,,24736740.0,
4. 미수금,"4, 7, 28",1832488.0,,1898583.0,
5. 선급비용,,817689.0,,890680.0,
6. 재고자산,8,15973053.0,,13831372.0,
7. 기타유동자산,"4, 28",2922491.0,,2350845.0,
Ⅱ. 비 유 동 자 산,,,177558768.0,,155865878.0
1. 기타포괄손익-공정가치금융자산,"4, 6, 28",1662532.0,,1539659.0,
2. 당기손익-공정가치금융자산,"4, 6, 28",2135.0,,3107.0,
"3. 종속기업, 관계기업 및 공동기업 투자",9,56225599.0,,56587548.0,
4. 유형자산,10,103667025.0,,86166924.0,
5. 무형자산,11,8657456.0,,7002648.0,
6. 순확정급여자산,14,2324291.0,,1162456.0,
7. 이연법인세자산,25,1211100.0,,992385.0,
8. 기타비유동자산,"4, 7, 28",3808630.0,,2411151.0,
자 산 총 계,,,251112184.0,,229664427.0
부 채,,,,,
Ⅰ. 유 동 부 채,,,53067303.0,,44412904.0
1. 매입채무,"4, 28",11557441.0,,6599025.0,
2. 단기차입금,"4, 5, 12, 28",9204268.0,,12520367.0,
3. 미지급금,"4, 28",13206753.0,,9829541.0,
4. 선수금,17,474731.0,,424368.0,
5. 예수금,"4, 28",624585.0,,432714.0,
6. 미지급비용,"4, 17, 28",8275410.0,,7927017.0,
7. 당기법인세부채,,5599896.0,,3556146.0,
8. 유동성장기부채,"4, 12, 13, 28",139328.0,,87571.0,
9. 충당부채,15,3643853.0,,2932468.0,
10. 기타유동부채,17,341038.0,,103687.0,
Ⅱ. 비 유 동 부 채,,,4851149.0,,1934799.0
1. 사채,"4, 13, 28",29048.0,,31909.0,
2. 장기차입금,"4, 12, 28",431915.0,,150397.0,
3. 장기미지급금,"4, 28",2653715.0,,1247752.0,
4. 장기충당부채,15,1659774.0,,503035.0,
5. 기타비유동부채,,76697.0,,1706.0,
부 채 총 계,,,57918452.0,,46347703.0
자 본,,,,,
Ⅰ. 자본금,18,,897514.0,,897514.0
1. 우선주자본금,,119467.0,,119467.0,
2. 보통주자본금,,778047.0,,778047.0,
Ⅱ. 주식발행초과금,,,4403893.0,,4403893.0
Ⅲ. 이익잉여금,19,,188774335.0,,178284102.0
Ⅳ. 기타자본항목,20,,-882010.0,,-268785.0
자 본 총 계,,,193193732.0,,183316724.0
부 채 와 자 본 총 계,,,251112184.0,,229664427.0
