기업명,자산,부채,매출액,당기순이익(손실)
삼성디스플레이,"37,939,965","6,728,991","24,980,628","1,698,239"
Samsung Electronics America(SEA),"10,697,787","5,409,749","14,076,007","(80,403)"
Samsung (China) Investment(SCIC),"9,603,679","7,830,941","16,451,983","162,677"
Samsung Electronics Europe Holding(SEEH),"7,022,746","5,062,988",-,"93,605"
Samsung (China) Semiconductor(SCS),"6,765,278","3,911,166","877,508","166,754"
Samsung Electronics Huizhou(SEHZ),"4,966,486","1,258,635","17,166,345","829,880"
Samsung Electronica da Amazonia(SEDA),"3,797,166","1,330,302","7,936,105","887,715"
Samsung Asia Private(SAPL),"3,110,433","671,729","1,423,212","1,057,873"
Samsung India Electronics(SIEL),"2,949,605","1,776,936","6,849,389","428,757"
Shanghai Samsung Semiconductor(SSS),"2,560,852","2,120,738","13,331,324","125,239"
Tianjin Samsung Telecom Technology(TSTC),"2,316,054","789,395","11,413,234","510,357"
Samsung Electronics Slovakia(SESK),"1,869,697","405,089","4,248,232","142,416"
Thai Samsung Electronics(TSE),"1,654,988","307,109","4,442,707","202,647"
Samsung Electronics Europe Logistics(SELS),"1,621,583","1,524,468","13,320,129","38,209"
Samsung Electronics Taiwan(SET),"1,583,027","1,299,330","4,472,432","44,559"
