계 정 과 목,누적일시적차이,,,이연법인세자산(부채),,
기초잔액,증감액,기말잔액,기초이연법인세자산(부채),증감액,기말이연법인세자산(부채),
1) 일시적차이로 인한 이연법인세:,,,,,,
토지재평가,"(3,420,886)","14,261","(3,406,625)","(940,744)","3,922","(936,822)"
"종속기업, 관계기업 및 공동기업 투자(*1)","(3,994,444)","157,076","(3,837,368)","(909,018)","55,853","(853,165)"
감가상각누계액 등,"(514,103)","(1,942,199)","(2,456,302)","(141,379)","(534,104)","(675,483)"
미수수익,"(112,810)","58,703","(54,107)","(31,023)","16,144","(14,879)"
충당부채 및 미지급비용 등,"9,540,744","1,557,561","11,098,305","2,623,704","428,330","3,052,034"
외화평가조정,"(51,955)","46,642","(5,313)","(14,288)","12,827","(1,461)"
자산손상,"1,744,851","(648,554)","1,096,297","399,268","(178,352)","220,916"
퇴직급여,"(4,223,358)","(1,869,997)","(6,093,355)","(1,161,424)","(514,249)","(1,675,673)"
분할 시 투자주식 평가증(*2),"10,586,822",-,"10,586,822",-,-,-
기타,"1,038,962","2,858,629","3,897,591","115,053","363,392","478,445"
소 계,"10,593,823","232,122","10,825,945","(59,851)","(346,237)","(406,088)"
2) 세액공제로 인한 이연법인세:,,,,,,
세액공제이월액,"282,542","389,511","672,053","282,542","332,351","614,893"
3) 자본에 직접 가감하는 이연법인세:,,,,,,
기타포괄손익-공정가치금융자산평가손익 등,"(262,753)","137,815","(124,938)","(72,257)","37,899","(34,358)"
순확정급여부채(자산) 재측정요소,"3,061,640","708,012","3,769,652","841,951","194,702","1,036,653"
소 계,"2,798,887","845,827","3,644,714","769,694","232,601","1,002,295"
이연법인세자산(부채) 계,,,,"992,385","218,715","1,211,100"
