기업명,자산,부채,매출액,당기순이익(손실)
삼성디스플레이,"35,754,894","6,682,229","29,386,907","2,400,779"
Samsung Electronics America(SEA),"12,248,560","7,262,519","14,321,018","70,690"
Samsung (China) Investment(SCIC),"8,406,438","6,780,610","25,605,822","743,369"
Samsung Electronics Europe Holding(SEEH),"5,780,302","4,025,760",-,"(17,863)"
Samsung Electronics Huizhou(SEHZ),"4,599,200","1,802,686","22,664,923","1,012,728"
Samsung (China) Semiconductor(SCS),"3,752,682","1,284,560",-,"(40,537)"
Samsung Electronica da Amazonia(SEDA),"3,429,136","1,658,072","7,852,428","920,157"
Tianjin Samsung Telecom Technology(TSTC),"2,939,027","1,415,277","15,293,633","767,822"
Samsung Asia Private(SAPL),"2,425,585","1,099,521","1,558,990","674,510"
Samsung India Electronics(SIEL),"1,924,832","1,195,824","6,737,419","324,171"
Samsung Electronics Europe Logistics(SELS),"1,903,892","1,806,486","14,543,524","7,613"
Samsung Electronics Slovakia(SESK),"1,764,078","317,224","4,561,795","140,825"
Samsung Electronics Mexico(SEM),"1,554,638","1,311,133","3,261,067","9,886"
Thai Samsung Electronics(TSE),"1,476,296","373,181","5,033,203","222,389"
Samsung Electronics Rus Company(SERC),"1,410,054","1,107,915","5,809,646","(11,137)"
