구 분,내 역,,,,,,,,
전반감사계획(감사착수단계),수행시기,2014.5.19 ~ 6.52014.8.18 ~ 9.5,,,,,29,일,
주요내용,"감사위험 평가 및 감사절차의 성격, 시기, 범위 결정",,,,,,,,
현장감사주요내용,수행시기,,,투입인원,,,,주요 감사업무 수행내용,
상주,,비상주,,,,,,,
2014.8.25 ~ 10.8,30,일,20,명,7,명,시스템 및 내부통제감사,,
2014.12.1 ~ 12.23,17,일,34,명,11,명,조기입증 감사,,
2015.1.5 ~ 1.28,18,일,35,명,7,명,조회확인 등 입증절차 업데이트,,
2015.1.29 ~ 2.24,16,일,20,명,9,명,재무제표검증 및 감사종결절차 수행,,
재고자산실사(입회),실사(입회)시기,2014.11.28 / 12.1,,,,,2,일,
실사(입회)장소,"수원, 기흥, 구미, 광주 사업장 등",,,,,,,,
실사(입회)대상,"원재료, 재공품, 제품 등",,,,,,,,
금융자산실사(입회),실사(입회)시기,2015.1.5 / 1.6,,,,,2,일,
실사(입회)장소,"서초, 기흥 사업장",,,,,,,,
실사(입회)대상,"현금, 유가증권 등",,,,,,,,
외부조회,금융거래조회,O,,채권채무조회,,,O,변호사조회,O
기타조회,타처보관재고자산조회 등,,,,,,,,
지배기구와의커뮤니케이션,커뮤니케이션 횟수,4,,회,,,,,
수행시기,2014.4.24 / 7.30 / 10.29 / 2015.1.28,,,,,,,,
