구분,기업명(*1),채권 등(*2),채무 등(*3)
종속기업,삼성디스플레이㈜,"23,791","119,401"
"Samsung Electronics America, Inc. (SEA)","4,708,011","143,310",
"Samsung (China) Semiconductor Co., Ltd. (SCS)","59,110","726,945",
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)","734,283","4,049,400",
Harman과 그 종속기업(*4),-,"7,541",
"Samsung Electronics Vietnam Co., Ltd. (SEV)","414,781","2,301,949",
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","138,307","77,540",
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),316,-,
"Samsung Semiconductor, Inc. (SSI)","7,320,890","123,555",
Samsung Asia Pte. Ltd. (SAPL),"1,736","2,164",
Samsung Austin Semiconductor LLC (SAS),"4,645","277,682",
Samsung India Electronics Private Ltd. (SIEL),"1,099,927","463,652",
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","4,337,520",217,
"Samsung Display Vietnam Co., Ltd. (SDV)","161,441",-,
Samsung Eletronica da Amazonia Ltda. (SEDA),"258,490","1,040",
Samsung Electronics (UK) Ltd. (SEUK),"201,717","19,595",
"Samsung International, Inc. (SII)","32,564","259,847",
"Thai Samsung Electronics Co., Ltd. (TSE)","132,508","334,943",
"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)","167,225","430,960",
"Samsung Electronics Taiwan Co., Ltd. (SET)","372,716","32,145",
"Samsung Electronics Hungarian Private Co., Ltd. (SEH)","58,694",99,
Samsung Electronics Europe Logistics B.V. (SELS),"629,882","1,715",
Samsung Electronics Benelux B.V. (SEBN),"45,171","3,351",
Samsung Electronics GmbH (SEG),"223,603","2,272",
"Samsung Display Dongguan Co., Ltd. (SDD)","18,025",-,
기타,"9,220,424","2,284,643",
계,"30,365,777","11,663,966",
