계 정 과 목,누적일시적차이,,,이연법인세자산(부채),,
기초잔액,증감액,기말잔액,기초이연법인세자산(부채),증감액,기말이연법인세자산(부채),
1) 일시적차이로 인한 이연법인세:,,,,,,
토지재평가,"(3,422,280)","4,476","(3,417,804)","(941,127)","1,231","(939,896)"
"종속기업, 관계기업 및 공동기업 투자(*1)","(3,994,444)",-,"(3,994,444)","(773,181)","(135,837)","(909,018)"
감가상각누계액 등,"203,845","(95,398)","108,447","56,057","(26,234)","29,823"
미수수익,"(233,775)","78,762","(155,013)","(64,288)","21,660","(42,628)"
충당부채 및 미지급비용 등,"6,943,148","301,400","7,244,548","1,909,366","82,885","1,992,251"
외화평가조정,"(100,849)","(23,604)","(124,453)","(27,734)","(6,490)","(34,224)"
자산손상,"1,346,297","264,790","1,611,087","370,232","72,817","443,049"
퇴직급여,"(1,483,954)","(1,218,784)","(2,702,738)","(408,087)","(335,166)","(743,253)"
분할 시 투자주식 평가증(*2),"10,586,822",-,"10,586,822",-,-,-
기타,"1,153,228","(686,452)","466,776","216,946","(275,082)","(58,136)"
소 계,"10,998,038","(1,374,810)","9,623,228","338,184","(600,216)","(262,032)"
2) 세액공제로 인한 이연법인세:,,,,,,
세액공제이월액,"77,602","170,268","247,870","77,602","170,267","247,869"
3) 자본에 직접 가감하는 이연법인세:,,,,,,
기타포괄손익-공정가치금융자산평가손익 등,"(31,393)","(102,738)","(134,131)","(8,633)","(28,253)","(36,886)"
순확정급여부채(자산) 재측정요소,"899,284","1,276,079","2,175,363","247,303","350,922","598,225"
소 계,"867,891","1,173,341","2,041,232","238,670","322,669","561,339"
이연법인세자산(부채) 계,,,,"654,456","(107,280)","547,176"
