과 목,주 석,제 52 (당) 기,,제 51 (전) 기,
Ⅰ. 영업활동 현금흐름,,,"37,509,025",,"22,796,257"
1. 영업에서 창출된 현금흐름,,"39,541,654",,"28,344,706",
가. 당기순이익,,"15,615,018",,"15,353,323",
나. 조정,27,"24,319,842",,"16,911,222",
다. 영업활동으로 인한 자산부채의 변동,27,"(393,206)",,"(3,919,839)",
2. 이자의 수취,,"448,323",,"673,363",
3. 이자의 지급,,"(148,262)",,"(306,633)",
4. 배당금 수입,,"129,569",,"4,625,181",
5. 법인세 납부액,,"(2,462,259)",,"(10,540,360)",
Ⅱ. 투자활동 현금흐름,,,"(31,175,575)",,"(13,537,171)"
1. 단기금융상품의 순감소(증가),,"(2,099,892)",,"6,212,479",
2. 장기금융상품의 처분,,-,,"1,400,000",
3. 기타포괄손익-공정가치금융자산의 처분,,503,,"1,239",
4. 기타포괄손익-공정가치금융자산의 취득,,"(204,957)",,"(6,701)",
5. 당기손익-공정가치금융자산의 처분,,74,,"7,334",
"6. 종속기업, 관계기업 및 공동기업 투자의 처분",,"22,057",,"58,677",
"7. 종속기업, 관계기업 및 공동기업 투자의 취득",,"(163,456)",,"(925,139)",
8. 유형자산의 처분,,"431,142",,"600,901",
9. 유형자산의 취득,,"(26,962,042)",,"(17,240,242)",
10. 무형자산의 처분,,"1,082",,"1,965",
11. 무형자산의 취득,,"(2,239,834)",,"(2,855,959)",
12. 사업결합으로 인한 현금유출액,,-,,"(785,000)",
13. 기타투자활동으로 인한 현금유출입액,,"39,748",,"(6,725)",
Ⅲ. 재무활동 현금흐름,,,"(7,426,376)",,"(9,787,719)"
1. 단기차입금의 순증가(감소),27,"2,326,350",,"(41,078)",
2. 사채 및 장기차입금의 상환,27,"(134,443)",,"(128,431)",
3. 배당금의 지급,,"(9,618,283)",,"(9,618,210)",
Ⅳ. 외화환산으로 인한 현금의 변동,,,54,,"2,593"
Ⅴ. 현금및현금성자산의 증가(감소)(Ⅰ+Ⅱ+Ⅲ+Ⅳ),,,"(1,092,872)",,"(526,040)"
Ⅵ. 기초의 현금및현금성자산,,,"2,081,917",,"2,607,957"
Ⅶ. 기말의 현금및현금성자산,,,"989,045",,"2,081,917"
