지역,기업명,업종,지분율(%)(*)
미주,Samsung Eletronica da Amazonia Ltda. (SEDA),전자제품 생산 및 판매,100.0
Samsung Electronics Mexico S.A. De C.V. (SEM),전자제품 판매,100.0,
"Samsung Electronics Digital Appliance Mexico, SA de CV (SEDAM)",가전제품 생산,100.0,
"Samsung Electronics Latinoamerica(Zona Libre), S. A. (SELA)",전자제품 판매,100.0,
"Samsung Electronics Latinoamerica Miami, Inc. (SEMI)",전자제품 판매,100.0,
Samsung Electronica Colombia S.A. (SAMCOL),전자제품 판매,100.0,
Samsung Electronics Argentina S.A. (SEASA),마케팅 및 서비스,100.0,
Samsung Electronics Chile Limitada (SECH),전자제품 판매,100.0,
Samsung Electronics Peru S.A.C. (SEPR),전자제품 판매,100.0,
"Samsung Electronics Venezuela, C.A. (SEVEN)",마케팅 및 서비스,100.0,
Samsung Electronics Panama. S.A. (SEPA),컨설팅,100.0,
"Harman International Industries, Inc.",해외자회사 관리,100.0,
"Harman Becker Automotive Systems, Inc.","오디오제품 생산, 판매, R&D",100.0,
"Harman Connected Services, Inc.",Connected Service Provider,100.0,
Harman Connected Services Engineering Corp.,Connected Service Provider,100.0,
Harman da Amazonia Industria Eletronica e Participacoes Ltda.,"오디오제품 생산, 판매",100.0,
"Harman de Mexico, S. de R.L. de C.V.",오디오제품 생산,100.0,
Harman do Brasil Industria Eletronica e Participacoes Ltda.,"오디오제품 판매, R&D",100.0,
Harman Financial Group LLC,Management Company,100.0,
Harman International Industries Canada Ltd.,오디오제품 판매,100.0,
"Harman International Mexico, S. de R.L. de C.V.",오디오제품 판매,100.0,
"Harman KG Holding, LLC",해외자회사 관리,100.0,
"Harman Professional, Inc.","오디오제품 판매, R&D",100.0,
"Roon Labs, LLC.",오디오제품 판매,100.0,
"Beijing Integrated Circuit Industry International Fund, L.P",벤처기업 투자,61.4,
China Materialia New Materials 2016 Limited Partnership,벤처기업 투자,99.0,
