과 목,주석,제 48 (당) 기,,제 47 (전) 기,
Ⅰ. 영업활동 현금흐름,,,"23,984,804",,"19,287,521"
1. 영업에서 창출된 현금흐름,,"24,901,464",,"19,756,969",
가. 당기순이익,,"11,579,749",,"12,238,469",
나. 조정,30,"14,910,093",,"13,087,462",
다. 영업활동으로 인한 자산부채의 변동,30,"(1,588,378)",,"(5,568,962)",
2. 이자의 수취,,"622,118",,"890,456",
3. 이자의 지급,,"(208,010)",,"(153,195)",
4. 배당금 수입,,"903,758",,"1,914,856",
5. 법인세 납부액,,"(2,234,526)",,"(3,121,565)",
Ⅱ. 투자활동 현금흐름,,,"(14,240,450)",,"(14,003,962)"
1. 단기금융상품의 순증가,,"(1,407,068)",,"(2,309,495)",
2. 단기매도가능금융자산의 처분,,"3,010,003",,"2,143,384",
3. 장기금융상품의 처분,,"700,000",,"1,700,000",
4. 장기금융상품의 취득,,"(1,700,000)",,-,
5. 장기매도가능금융자산의 처분,,"692,547",,"78,885",
6. 장기매도가능금융자산의 취득,,"(477,744)",,"(17,303)",
"7. 종속기업, 관계기업 및 공동기업 투자의 처분",,"2,416,678",,"311,310",
"8. 종속기업, 관계기업 및 공동기업 투자의 취득",,"(4,648,008)",,"(2,334,935)",
9. 유형자산의 처분,,"335,288",,"473,836",
10. 유형자산의 취득,,"(12,161,084)",,"(12,887,965)",
11. 무형자산의 처분,,"6,357",,990,
12. 무형자산의 취득,,"(1,046,676)",,"(1,365,674)",
13. 현금의 기타유입,,"39,257",,"203,005",
Ⅲ. 재무활동 현금흐름,,,"(9,037,006)",,"(3,854,887)"
1. 단기차입금의 순증가,,"1,737,871",,"4,236,095",
2. 자기주식의 취득,,"(7,707,938)",,"(5,015,112)",
3. 자기주식의 처분,,-,,"3,034",
4. 사채의 상환,,"(5,860)",,"(5,496)",
5. 배당금의 지급,,"(3,061,079)",,"(3,073,408)",
Ⅳ. 외화환산으로 인한 현금의 변동,,,"8,063",,"(9,030)"
Ⅴ. 현금및현금성자산의 증가 (Ⅰ+Ⅱ+Ⅲ),,,"715,411",,"1,419,642"
Ⅵ. 기초의 현금및현금성자산,,,"3,062,960",,"1,643,318"
Ⅶ. 기말의 현금및현금성자산,,,"3,778,371",,"3,062,960"
