과 목,주 석,제 50 (당) 기,,제 49 (전) 기,
Ⅰ. 영업활동 현금흐름,,,"44,341,217",,"38,906,190"
1. 영업에서 창출된 현금흐름,,"53,596,311",,"41,350,471",
가. 당기순이익,,"32,815,127",,"28,800,837",
나. 조정,30,"27,095,149",,"18,012,976",
다. 영업활동으로 인한 자산부채의 변동,30,"(6,313,965)",,"(5,463,342)",
2. 이자의 수취,,"459,074",,"491,501",
3. 이자의 지급,,"(343,270)",,"(265,364)",
4. 배당금 수입,,"779,567",,"1,118,779",
5. 법인세 납부액,,"(10,150,465)",,"(3,789,197)",
Ⅱ. 투자활동 현금흐름,,,"(31,678,548)",,"(28,118,806)"
1. 단기금융상품의 순(증가)감소,,"(7,203,807)",,"2,960,592",
2. 장기금융상품의 처분,,-,,"1,700,000",
3. 장기금융상품의 취득,,"(1,860,000)",,"(500,000)",
4. 장기매도가능금융자산의 처분,,-,,"98,265",
5. 장기매도가능금융자산의 취득,,-,,"(163,765)",
6. 기타포괄손익-공정가치금융자산의 처분,,"7,345",,-,
7. 기타포괄손익-공정가치금융자산의 취득,,"(204,055)",,-,
8. 당기손익-공정가치금융자산의 처분,,"7,421",,-,
9. 당기손익-공정가치금융자산의 취득,,"(1,776)",,-,
"10. 종속기업, 관계기업 및 공동기업 투자의 처분",,"25,846",,"1,438,362",
"11. 종속기업, 관계기업 및 공동기업 투자의 취득",,"(520,660)",,"(7,492,843)",
12. 유형자산의 처분,,"340,558",,"244,033",
13. 유형자산의 취득,,"(21,387,378)",,"(25,641,229)",
14. 무형자산의 처분,,706,,456,
15. 무형자산의 취득,,"(880,032)",,"(843,096)",
16. 현금의 기타유출입,,"(2,716)",,"80,419",
Ⅲ. 재무활동 현금흐름,,,"(12,818,480)",,"(11,801,987)"
1. 단기차입금의 순(감소)증가,30,"(1,796,186)",,"3,300,611",
2. 자기주식의 취득,,"(875,111)",,"(8,350,424)",
3. 사채의 상환,30,"(5,357)",,"(6,043)",
4. 배당금의 지급,,"(10,141,826)",,"(6,746,131)",
Ⅳ. 외화환산으로 인한 현금의 변동,,,-,,-
Ⅴ. 현금및현금성자산의 감소 (Ⅰ+Ⅱ+Ⅲ+Ⅳ),,,"(155,811)",,"(1,014,603)"
Ⅵ. 기초의 현금및현금성자산,,,"2,763,768",,"3,778,371"
Ⅶ. 기말의 현금및현금성자산,,,"2,607,957",,"2,763,768"
