지역,기업명,업종,지분율(%)(*)
중국,Samsung Display Dongguan(SDD),디스플레이 생산,100.0
Samsung Display Tianjin(SDT),디스플레이 생산,95.0,
Samsung Electronics Hong Kong(SEHK),전자제품 판매,100.0,
Suzhou Samsung Electronics(SSEC),가전제품 생산,88.3,
Samsung Suzhou Electronics Export(SSEC-E),가전제품 생산,100.0,
Samsung (China) Investment(SCIC),전자제품 판매,100.0,
Samsung Mobile R&D Center China-Guangzhou(SRC-Guangzhou),R&D,100.0,
Samsung Tianjin Mobile Development Center(STMC),R&D,100.0,
Samsung R&D Institute China-Shenzhen(SRC-Shenzhen),R&D,100.0,
Samsung Electronics Suzhou Semiconductor(SESS),반도체 임가공,100.0,
Samsung Electronics Huizhou(SEHZ),전자제품 생산,99.9,
Tianjin Samsung Electronics(TSEC),TV/모니터 생산,91.2,
Samsung Electronics Taiwan(SET),전자제품 판매,100.0,
Beijing Samsung Telecom R&D Center(BST),R&D,100.0,
Tianjin Samsung Telecom Technology(TSTC),통신제품 생산,90.0,
Shanghai Samsung Semiconductor(SSS),반도체/디스플레이 판매,100.0,
Samsung Electronics Suzhou Computer(SESC),전자제품 생산,100.0,
Samsung Suzhou Module(SSM),디스플레이 임가공,100.0,
Samsung Suzhou LCD(SSL),디스플레이 생산,60.0,
Shenzhen Samsung Electronics Telecommunication(SSET),통신제품 생산,95.0,
Samsung Semiconductor (China) R&D(SSCR),R&D,100.0,
Samsung Electronics China R&D Center(SCRC),R&D,100.0,
Samsung (China) Semiconductor(SCS),반도체 생산,100.0,
Samsung Electronics (Beijing) Service(SBSC),서비스,100.0,
Tianjin Samsung LED(TSLED),LED 생산,100.0,
SEMES (Xian),반도체 장비,100.0,
Samsung Semiconductor Xian(SSCX),반도체/디스플레이 판매,100.0,
Harman (China) Technologies,오디오제품 생산,100.0,
Harman (Suzhou) Audio and Infotainment Systems,오디오제품 판매,100.0,
Harman Automotive Electronic Systems (Suzhou),"오디오제품 생산, R&D",100.0,
Harman Commercial (Shanghai),오디오제품 판매,100.0,
Harman Holding,오디오제품 판매,100.0,
Harman International (China) Holdings,"오디오제품 판매, R&D",100.0,
Harman Technology (Shenzhen),"오디오제품 판매, R&D",100.0,
Harman Connected Services Solutions (Beijing),Connected Service Provider,100.0,
Harman Connected Services Solutions (Chengdu),Connected Service Provider,100.0,
