구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이,"164,404",-,"1,445,515","1,660"
Samsung Electronics America(SEA),"24,012,212",-,"171,693",-,
Samsung (China) Investment(SCIC),"309,349",-,"6,351",-,
Harman과 그 종속기업(*2),-,-,"88,905",-,
Samsung Electronics Vietnam(SEV),"4,428,874","4,334","11,905,994",123,
Samsung Electronics Vietnam THAINGUYEN(SEVT),"6,109,227","3,320","14,412,580",29,
Samsung (China) Semiconductor(SCS),"567,261","138,973","4,516,994","33,029",
Samsung Semiconductor(SSI),"27,853,576",-,"393,190",-,
Samsung Electronics Europe Holding(SEEH),-,-,-,-,
Samsung Display Vietnam(SDV),"1,010,749",-,-,-,
Samsung Asia Private(SAPL),"1,638,884",-,"32,329",-,
Samsung Electronics Huizhou(SEHZ),"1,600,674",87,"7,868,307",291,
Samsung India Electronics(SIEL),"4,826,458",-,"815,638",-,
Samsung Electronica da Amazonia(SEDA),"1,131,969",-,"4,285",-,
Samsung Austin Semiconductor(SAS),"4,011","4,103","3,643,739",-,
Shanghai Samsung Semiconductor(SSS),"24,032,406",-,-,-,
Thai Samsung Electronics(TSE),"1,501,161",-,"1,718,099",-,
Samsung Electronics (UK)(SEUK),"160,475",-,"83,110",-,
Samsung Electronics GmbH(SEG),"3,226,745",-,"29,055",-,
Samsung Electronics HCMC CE Complex(SEHC),"644,155",562,"2,536,338",45,
Samsung Electronics Europe Logistics(SELS),"2,688,399",-,"12,637",-,
Samsung Electronics Hungarian(SEH),"356,748",-,911,12,
Samsung Suzhou LCD(SSL),"32,526",-,-,-,
Samsung Electronics France(SEF),"2,275,110",-,"4,374",-,
Samsung Electronics Benelux(SEBN),"92,798",-,"1,714",-,
기타,"42,757,356","10,490","20,224,600","48,030",
종속기업 계,"151,425,527","161,869","69,916,358","83,219",
