과 목,주석,제 53 (당) 기,,제 52 (전) 기,
자 산,,,,,
Ⅰ. 유 동 자 산,,,"73,553,416",,"73,798,549"
1. 현금및현금성자산,"4, 28","3,918,872",,"989,045",
2. 단기금융상품,"4, 28","15,000,576",,"29,101,284",
3. 매출채권,"4, 5, 7, 28","33,088,247",,"24,736,740",
4. 미수금,"4, 7, 28","1,832,488",,"1,898,583",
5. 선급비용,,"817,689",,"890,680",
6. 재고자산,8,"15,973,053",,"13,831,372",
7. 기타유동자산,"4, 28","2,922,491",,"2,350,845",
Ⅱ. 비 유 동 자 산,,,"177,558,768",,"155,865,878"
1. 기타포괄손익-공정가치금융자산,"4, 6, 28","1,662,532",,"1,539,659",
2. 당기손익-공정가치금융자산,"4, 6, 28","2,135",,"3,107",
"3. 종속기업, 관계기업 및 공동기업 투자",9,"56,225,599",,"56,587,548",
4. 유형자산,10,"103,667,025",,"86,166,924",
5. 무형자산,11,"8,657,456",,"7,002,648",
6. 순확정급여자산,14,"2,324,291",,"1,162,456",
7. 이연법인세자산,25,"1,211,100",,"992,385",
8. 기타비유동자산,"4, 7, 28","3,808,630",,"2,411,151",
자 산 총 계,,,"251,112,184",,"229,664,427"
부 채,,,,,
Ⅰ. 유 동 부 채,,,"53,067,303",,"44,412,904"
1. 매입채무,"4, 28","11,557,441",,"6,599,025",
2. 단기차입금,"4, 5, 12, 28","9,204,268",,"12,520,367",
3. 미지급금,"4, 28","13,206,753",,"9,829,541",
4. 선수금,17,"474,731",,"424,368",
5. 예수금,"4, 28","624,585",,"432,714",
6. 미지급비용,"4, 17, 28","8,275,410",,"7,927,017",
7. 당기법인세부채,,"5,599,896",,"3,556,146",
8. 유동성장기부채,"4, 12, 13, 28","139,328",,"87,571",
9. 충당부채,15,"3,643,853",,"2,932,468",
10. 기타유동부채,17,"341,038",,"103,687",
Ⅱ. 비 유 동 부 채,,,"4,851,149",,"1,934,799"
1. 사채,"4, 13, 28","29,048",,"31,909",
2. 장기차입금,"4, 12, 28","431,915",,"150,397",
3. 장기미지급금,"4, 28","2,653,715",,"1,247,752",
4. 장기충당부채,15,"1,659,774",,"503,035",
5. 기타비유동부채,,"76,697",,"1,706",
부 채 총 계,,,"57,918,452",,"46,347,703"
자 본,,,,,
Ⅰ. 자본금,18,,"897,514",,"897,514"
1. 우선주자본금,,"119,467",,"119,467",
2. 보통주자본금,,"778,047",,"778,047",
Ⅱ. 주식발행초과금,,,"4,403,893",,"4,403,893"
Ⅲ. 이익잉여금,19,,"188,774,335",,"178,284,102"
Ⅳ. 기타자본항목,20,,"(882,010)",,"(268,785)"
자 본 총 계,,,"193,193,732",,"183,316,724"
부 채 와 자 본 총 계,,,"251,112,184",,"229,664,427"
