구분,기업명(*1),채권 등,채무 등
종속기업,삼성디스플레이,"26,017","105,445"
Samsung Electronics America(SEA),"4,200,871","430,475",
Samsung (China) Investment(SCIC),"50,354","1,006",
Samsung (China) Semiconductor(SCS),"51,611","320,006",
Samsung Electronics Vietnam(SEV),"381,759","1,902,614",
Samsung Electronics Europe Holding(SEEH),"1,447",36,
Samsung Semiconductor(SSI),"3,123,618","98,931",
Samsung Electronics Vietnam THAINGUYEN(SEVT),"749,996","650,219",
Samsung Electronics Huizhou(SEHZ),"151,613","1,123,574",
Shanghai Samsung Semiconductor(SSS),"3,448,765",840,
Samsung Asia Private(SAPL),"54,231","12,350",
Samsung Electronica da Amazonia(SEDA),"162,997","1,445",
Samsung Austin Semiconductor(SAS),"37,391","298,150",
Samsung India Electronics(SIEL),"1,056,157","14,177",
Samsung Display Vietnam(SDV),"40,894",-,
Samsung Electronics Europe Logistics(SELS),"1,284,610","2,283",
Samsung Suzhou LCD(SSL),"4,855",-,
Thai Samsung Electronics(TSE),"140,628","167,454",
Samsung Electronics Slovakia(SESK),"91,094",40,
