기 업 명,당기말,,,,전기말
보유주식수(주),지분율(%)(*),취득원가,장부금액(시장가치),장부금액(시장가치),
삼성중공업㈜,"134,027,281",15.2,"932,158","759,935","708,882"
㈜호텔신라,"2,004,717",5.1,"13,957","156,368","164,988"
㈜아이마켓코리아,"647,320",1.9,324,"6,926","5,658"
㈜케이티스카이라이프,"240,000",0.5,"3,344","2,194","2,114"
㈜용평리조트,"400,000",0.8,"1,869","1,958","1,702"
㈜에이테크솔루션,"1,592,000",15.9,"26,348","26,188","19,263"
㈜원익홀딩스,"1,759,171",2.3,"15,410","8,761","11,153"
㈜원익아이피에스,"1,850,936",3.8,"16,214","78,295","81,904"
㈜동진쎄미켐,"2,467,894",4.8,"48,277","125,863","90,078"
솔브레인홀딩스㈜,"461,741",2.2,"30,752","15,976","20,825"
솔브레인㈜,"373,368",4.8,"24,866","103,983","101,668"
㈜에스앤에스텍,"1,716,116",8.0,"65,933","63,153","74,651"
와이아이케이㈜,"9,601,617",11.7,"47,336","59,530","60,010"
㈜케이씨텍,"1,022,216",4.9,"20,720","24,584","31,433"
㈜엘오티베큠,"1,267,668",7.1,"18,990","21,805","24,086"
㈜뉴파워프라즈마,"2,140,939",4.9,"12,739","13,723","14,109"
㈜에프에스티,"1,522,975",7.0,"43,009","38,607",-
㈜디엔에프,"810,030",7.0,"20,964","18,509",-
Marvell,"173,187",0.0,"11,705","17,962",-
계,,,"1,354,915","1,544,320","1,412,524"
