구분,당기말 | 장부금액,당기말 | 공정가치,전기말 | 장부금액,전기말 | 공정가치
금융자산,,금융자산,,금융자산
현금및현금성자산,2607957.0,(*1),2763768.0,(*1)
단기금융상품,34113871.0,(*1),25510064.0,(*1)
매출채권,24933267.0,(*1),27881777.0,(*1)
장기매도가능금융자산(*2),0.0,-,973353.0,895670
기타포괄손익-공정가치금융자산,1098565.0,1098565,0.0,-
당기손익-공정가치금융자산,7413.0,7413,0.0,-
기타,4630073.0,(*1),3623263.0,(*1)
소계,67391146.0,,60752225.0,
금융부채,,금융부채,,금융부채
매입채무,7315631.0,(*1),6398629.0,(*1)
단기차입금,10353873.0,(*1),12229701.0,(*1)
미지급금,8255775.0,(*1),9465685.0,(*1)
유동성장기부채,5440.0,(*1),5201.0,(*1)
사채,43516.0,57733,46808.0,61943
장기미지급금,2231836.0,(*1),1537329.0,(*1)
기타,2355676.0,(*1),3549549.0,(*1)
소계,30561747.0,,33232902.0,
