과 목,제 51 (당) 기,제 51 (당) 기_2,제 50 (전) 기,제 50 (전) 기_2
Ⅰ. 미처분이익잉여금,,8138252.0,,18556368.0
1. 전기이월이익잉여금,30.0,,30.0,
2. 회계정책변경누적효과 등,-1286.0,,58324.0,
"3. 분기배당금  당기 - 주당배당금(률): 1,062원(1062%)  전기 - 주당배당금(률): 1,062원(1062%)",-7213815.0,,-7213815.0,
4. 자기주식 소각,0.0,,-7103298.0,
5. 당기순이익,15353323.0,,32815127.0,
Ⅱ. 임의적립금 등의 이입액,,0.0,,0.0
Ⅲ. 이익잉여금처분액,,8138222.0,,18556338.0
1. 기업합리화적립금,2500000.0,,5000000.0,
2. 배당금  주당배당금(률)  당기 - 보통주: 354원(354%)  우선주: 355원(355%)  전기 - 보통주: 354원(354%)  우선주: 355원(355%),2405428.0,,2405428.0,
3. 연구및인력개발준비금,3000000.0,,10000000.0,
4. 시설적립금,232794.0,,1150910.0,
Ⅳ. 차기이월미처분이익잉여금,,30.0,,30.0
