기업명(*1),자산,부채,매출액,당기순이익(손실)
삼성디스플레이,"50,723,199","12,243,688","30,111,427","3,352,802"
Samsung Electronics America(SEA),"26,266,636","8,980,828","33,329,340","(70,198)"
Harman과 그 종속기업(*2),"14,676,715","5,391,669","7,103,437","209,015"
Samsung (China) Investment(SCIC),"13,409,281","11,297,307","5,133,676","268,481"
Samsung Display Vietnam(SDV),"10,460,755","9,495,803","18,193,257","1,257,300"
Samsung Semiconductor(SSI),"10,125,193","5,376,696","28,870,987","83,113"
Samsung Electronics Vietnam THAINGUYEN(SEVT),"10,044,337","2,325,221","28,323,302","3,043,210"
Samsung Electronics Vietnam(SEV),"9,592,074","1,875,105","19,344,045","2,007,876"
Samsung Electronics Europe Holding(SEEH),"9,474,960","7,241,753",-,"18,294"
Samsung (China) Semiconductor(SCS),"8,076,107","1,499,220","4,513,291","1,359,007"
Samsung Electronics Huizhou(SEHZ),"6,440,564","980,064","13,521,077","689,594"
Samsung India Electronics(SIEL),"6,200,351","3,406,484","10,393,877","654,408"
Samsung Asia Private(SAPL),"6,138,652","481,546","1,848,905","1,293,924"
Samsung Electronica da Amazonia(SEDA),"5,838,533","1,514,891","7,108,691","1,449,426"
Shanghai Samsung Semiconductor(SSS),"5,169,438","4,182,832","24,198,255","236,410"
