구분,기업명,매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업,삼성에스디에스,"22,933",-,"1,682,403","173,357"
삼성전기,"22,631",110,"1,015,965",-,
삼성테크윈,914,-,"55,061","51,650",
삼성카드,"7,634",-,"16,973","170,739",
기타,"246,097","10,433","221,964",655,
관계기업 계,"300,209","10,543","2,992,366","396,401",
공동기업,삼성코닝정밀소재(*1),143,-,-,-
Siltronic Samsung Wafer,-,-,"153,610",-,
기타,"1,587",647,"8,557",-,
공동기업 계,"1,730",647,"162,167",-,
그 밖의특수관계자,제일모직(*2),"6,308",-,"98,227","374,046"
삼성SDI,"35,911","324,246","496,217","345,835",
기타,"112,803",-,"286,599",-,
그 밖의 특수관계자 계,"155,022","324,246","881,043","719,881",
