구 분,당기,전기
1. 법인세비용,"2,688,860","6,287,739"
2. 금융수익,"(1,326,674)","(1,093,580)"
3. 금융비용,"681,752","341,172"
4. 퇴직급여,"913,887","694,934"
5. 감가상각비,"9,219,362","8,698,863"
6. 무형자산상각비,"891,528","744,706"
7. 대손상각비 등,"276,343","232,772"
8. 배당금수익,"(2,524,861)","(1,337,598)"
9. 유형자산처분이익,"(98,639)","(86,712)"
10. 유형자산처분손실,"103,405","44,254"
11. 재고자산평가손실 등,"446,394","139,199"
12. 투자자산처분이익,"(80,712)","(1,061,471)"
13. 무형자산손상차손,"56,659","82,599"
"14. 기타 수익, 비용","(352,580)","(384,482)"
계,"10,894,724","13,302,395"
