과 목,주 석,제 56 (당) 기,,제 55 (전) 기,
Ⅰ. 영업활동 현금흐름,,,"52,491,497",,"34,455,084"
1. 영업에서 창출된 현금흐름,,"44,315,608",,"8,088,628",
가. 당기순이익,,"23,582,565",,"25,397,099",
나. 조정,27,"21,493,129",,"(4,092,924)",
다. 영업활동으로 인한 자산부채의 변동,27,"(760,086)",,"(13,215,547)",
2. 이자의 수취,,"277,362",,"332,111",
3. 이자의 지급,,"(674,010)",,"(798,649)",
4. 배당금 수입,,"9,635,502",,"29,497,803",
5. 법인세 납부액,,"(1,062,965)",,"(2,664,809)",
Ⅱ. 투자활동 현금흐름,,,"(50,377,644)",,"(47,571,537)"
1. 단기금융상품의 순감소(증가),,"(10,122,673)",,"(49,934)",
2. 기타포괄손익-공정가치금융자산의 처분,,"2,942",,"15,538",
3. 기타포괄손익-공정가치금융자산의 취득,,-,,"(15,515)",
4. 당기손익-공정가치금융자산의 처분,,1,,243,
"5. 종속기업, 관계기업 및 공동기업 투자의 처분",,"319,965",,"144,292",
"6. 종속기업, 관계기업 및 공동기업 투자의 취득",,"(336,648)",,"(108,300)",
7. 유형자산의 처분,,"130,956",,"164,415",
8. 유형자산의 취득,,"(38,246,765)",,"(45,026,206)",
9. 무형자산의 처분,,"13,327",,"12,002",
10. 무형자산의 취득,,"(2,069,083)",,"(2,639,614)",
11. 기타 투자활동으로 인한 현금유출입액,,"(69,666)",,"(68,458)",
Ⅲ. 재무활동 현금흐름,,,"(6,520,814)",,"15,268,902"
1. 단기차입금의 순증가(감소),27,"5,316,919",,"3,274,337",
2. 장기차입금의 차입,27,-,,"21,990,000",
3. 사채 및 장기차입금의 상환,27,"(217,305)",,"(185,316)",
4. 배당금의 지급,,"(9,808,653)",,"(9,810,119)",
5. 자기주식의 취득,,"(1,811,775)",,-,
Ⅳ. 외화환산으로 인한 현금의 변동,,,(724),,"(12,591)"
Ⅴ. 현금및현금성자산의 증가(감소)(Ⅰ+Ⅱ+Ⅲ+Ⅳ),,,"(4,407,685)",,"2,139,858"
Ⅵ. 기초의 현금및현금성자산,,,"6,061,451",,"3,921,593"
Ⅶ. 기말의 현금및현금성자산,,,"1,653,766",,"6,061,451"
