과 목,제 49 (당) 기,,제 48 (전) 기,
Ⅰ. 미처분이익잉여금,,"14,031,533",,"38,248"
1. 전기이월이익잉여금,31,,30,
"2. 분기배당금 당기 - 주당배당금(률) : 21,000원(420%) 전기 - 주당배당금(률) : 1,000원(20%)","(2,896,772)",,"(141,540)",
3. 자기주식 소각,"(11,872,563)",,"(11,399,991)",
4. 당기순이익,"28,800,837",,"11,579,749",
Ⅱ. 임의적립금 등의 이입액,,-,,"3,812,135"
1. 기업합리화적립금,-,,"3,812,135",
Ⅲ. 이익잉여금처분액,,"14,031,503",,"3,850,352"
1. 기업합리화적립금,"3,000,000",,-,
"2. 배당금 주당배당금(률) 당기 - 보통주 : 21,500원(430%) 우선주 : 21,550원(431%) 전기 - 보통주 : 27,500원(550%) 우선주 : 27,550원(551%)","2,929,530",,"3,850,352",
3. 연구및인력개발준비금,"8,000,000",,-,
4. 시설적립금,"101,973",,-,
Ⅳ. 차기이월미처분이익잉여금,,30,,31
