지역,기업명,업종,지분율(%)(*)
아시아(중국제외),Samsung Japan(SJC),전자제품 판매,100
Samsung R&D Institute Japan(SRJ),R&D,100,
Samsung Electronics Japan(SEJ),전자제품 판매,100,
Samsung Electronics Display (M)(SDMA),전자제품 생산 및 판매,100,
Samsung Electronics (M)(SEMA),가전제품 생산,100,
Samsung Vina Electronics(SAVINA),전자제품 생산 및 판매,100,
Samsung Asia Private(SAPL),전자제품 판매,100,
Samsung India Electronics(SIEL),전자제품 생산 및 판매,100,
Samsung R&D Institute India-Bangalore(SRI-B),R&D,100,
Samsung Electronics Australia(SEAU),전자제품 판매,100,
Samsung Electronics Indonesia(SEIN),전자제품 생산 및 판매,100,
Samsung Telecommunications Indonesia(STIN),통신시스템 판매 및 서비스,100,
Thai Samsung Electronics(TSE),전자제품 생산 및 판매,91.8,
Samsung Electronics Philippines(SEPCO),전자제품 판매,100,
Samsung Malaysia Electronics(SME),전자제품 판매,100,
Samsung R&D Institute Bangladesh(SRBD),R&D,100,
Samsung Electronics Vietnam(SEV),전자제품 생산,100,
Samsung Telecommunications Malaysia(STM),통신시스템 서비스,100,
Samsung Electronics Vietnam THAINGUYEN(SEVT),통신제품 생산,100,
Samsung Medison India(SMIN),의료기기,100,
Samsung Electronics New Zealand(SENZ),전자제품 판매,100,
Samsung Display Vietnam(SDV),디스플레이 생산,100,
Samsung Electronics HCMC CE Complex(SEHC),CE 생산,100,
Future Technology & Service,반도체 설계,100,
