구 분,당기,전기
1. 법인세비용,"3,145,325","2,114,148"
2. 금융수익,"(1,418,699)","(1,139,219)"
3. 금융비용,"1,056,546","794,986"
4. 퇴직급여,"813,704","862,227"
5. 감가상각비,"9,948,547","10,089,748"
6. 무형자산상각비,"1,143,430","1,000,538"
7. 대손상각비 등,"215,936","156,525"
8. 배당금수익,"(560,096)","(570,696)"
9. 유형자산처분이익,"(179,071)","(191,254)"
10. 유형자산처분손실,"23,098","45,766"
11. 무형자산손상차손,"449,297","155,980"
12. 재고자산평가손실 등,"1,231,576","287,739"
13. 투자자산처분이익,"(1,052,890)","(60,326)"
14. 매각예정분류자산처분이익,"(69,924)","(336,777)"
"15. 기타 수익, 비용","163,314","(121,923)"
계,"14,910,093","13,087,462"
