과 목,주 석,제 53 (당) 기,,제 52 (전) 기,
Ⅰ. 매 출 액,29,,"199,744,705",,"166,311,191"
Ⅱ. 매 출 원 가,21,,"135,823,433",,"116,753,419"
Ⅲ. 매 출 총 이 익,,,"63,921,272",,"49,557,772"
판매비와관리비,"21, 22","31,928,110",,"29,038,798",
Ⅳ. 영 업 이 익,29,,"31,993,162",,"20,518,974"
기 타 수 익,23,"7,359,004",,"797,494",
기 타 비 용,23,"745,978",,"857,242",
금 융 수 익,24,"3,796,979",,"5,676,877",
금 융 비 용,24,"3,698,675",,"5,684,180",
Ⅴ. 법인세비용차감전순이익,,,"38,704,492",,"20,451,923"
법 인 세 비 용,25,"7,733,538",,"4,836,905",
Ⅵ. 당 기 순 이 익,,,"30,970,954",,"15,615,018"
Ⅶ. 주 당 이 익,26,,,,
기본주당이익(단위 : 원),,,"4,559",,"2,299"
희석주당이익(단위 : 원),,,"4,559",,"2,299"
