기 업 명,당기말,,,,전기말
보유주식수(주),지분율(%)(*),취득원가,장부금액(시장가치),장부금액(시장가치),
삼성중공업㈜,"100,693,398",16.0,"735,488","732,041","746,138"
㈜호텔신라,"2,004,717",5.1,"13,957","182,028","153,361"
㈜아이마켓코리아,"647,320",1.8,324,"6,732","4,479"
㈜에이테크솔루션,"1,592,000",15.9,"26,348","11,733","12,418"
㈜원익홀딩스,"1,759,171",2.3,"15,410","9,605","6,175"
㈜원익아이피에스,"1,850,936",3.8,"16,214","66,356","37,204"
㈜케이티스카이라이프,"240,000",0.5,"3,344","2,093","2,760"
㈜동진쎄미켐,"2,467,894",4.8,"48,277","41,337","18,040"
솔브레인㈜,"835,110",4.8,"55,618","70,400","39,709"
㈜용평리조트,"400,000",0.8,"1,869","2,400","2,436"
계,,,"916,849","1,124,725","1,022,720"
