기업명,당기말,,,,전기말
보유주식수(주),지분율(%),취득원가,장부가액(시장가치),장부가액(시장가치),
삼성SDI(*1),-,-,-,-,"1,534,745"
삼성중공업,"65,930,982",16.9,"473,727","609,862","441,331"
호텔신라,"2,004,717",5.1,"13,957","96,527","154,965"
제일기획(*1),-,-,-,-,"300,124"
아이마켓코리아,"647,320",1.8,324,"6,732","16,377"
에이테크솔루션,"1,592,000",15.9,"26,348","16,636","8,469"
원익홀딩스(구 원익아이피에스)(*2),"1,759,171",2.3,"15,410","11,857","40,975"
원익아이피에스(*2),"1,850,936",4.5,"16,214","48,495",
케이티스카이라이프,"240,000",0.5,"3,344","4,152","4,152"
용평리조트(*3),"400,000",0.8,"1,869","3,432",-
Rambus(*4),-,-,-,-,"65,039"
Seagate Technology(*4),-,-,-,-,"538,765"
계,,,"551,193","797,693","3,104,942"
