구분,기업명(*1),채권 등,채무 등
종속기업,삼성디스플레이㈜,"15,338","182,541"
"Samsung Electronics America, Inc.(SEA)","4,932,605","72,147",
"Samsung (CHINA) Investment Co., Ltd.(SCIC)","36,616","5,215",
Harman과 그 종속기업(*2),"5,343","8,493",
"Samsung Electronics Vietnam Co., Ltd.(SEV)","518,366","1,225,669",
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd.(SEVT)","673,277","2,406,151",
"Samsung (China) Semiconductor Co., Ltd.(SCS)","69,891","331,097",
"Samsung Semiconductor, Inc.(SSI)","3,375,191","81,359",
Samsung Electronics Europe Holding Cooperatief U.A.(SEEH),517,-,
"Samsung Display Vietnam Co., Ltd.(SDV)","118,248",134,
Samsung Asia Private Ltd.(SAPL),"105,781","13,251",
"Samsung Electronics Huizhou Co., Ltd.(SEHZ)","92,360","782,167",
Samsung India Electronics Private Ltd.(SIEL),"2,026,325","169,499",
Samsung Electronica da Amazonia Ltda.(SEDA),"427,141","1,398",
Samsung Austin Semiconductor LLC.(SAS),"7,130","259,818",
"Shanghai Samsung Semiconductor Co., Ltd.(SSS)","3,304,263",63,
"Thai Samsung Electronics Co., Ltd.(TSE)","124,502","171,847",
Samsung Electronics (UK) Ltd.(SEUK),"48,993","20,224",
Samsung Electronics GmbH(SEG),"492,312","2,473",
"Samsung Electronics HCMC CE Complex Co., Ltd.(SEHC)","252,661","235,795",
Samsung Electronics Europe Logistics B.V.(SELS),"697,276","1,567",
Samsung Electronics Hungarian Private Co. Ltd.(SEH),"61,756",30,
"Samsung Suzhou LCD Co., Ltd.(SSL)","4,499",-,
Samsung Electronics France S.A.S(SEF),"551,773",333,
Samsung Electronics Benelux B.V.(SEBN),"24,733","2,402",
기타,"6,573,262","2,243,236",
종속기업 계(*3),"24,540,159","8,216,909",
