구분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부금액,"7,825,177","15,373,415","39,529,786","6,380,213","1,493,902","70,602,493"
- 취득원가,"7,825,177","22,801,947","122,746,311","6,380,213","2,821,585","162,575,233"
- 감가상각누계액 (손상차손누계액 포함),-,"(7,428,532)","(83,216,525)",-,"(1,327,683)","(91,972,740)"
일반취득 및 자본적지출,"40,103","568,514","8,213,462","9,041,876","346,203","18,210,158"
사업결합으로 인한 취득,-,"15,168","378,440","4,252","1,124","398,984"
감가상각,(352),"(1,180,353)","(13,564,862)",-,"(455,581)","(15,201,148)"
처분/폐기,"(61,099)","(20,851)","(220,890)",(98),"(4,491)","(307,429)"
손상,-,-,(518),-,"(8,344)","(8,862)"
기타,(557),"152,139","156,641","(131,456)","219,312","396,079"
기말장부금액,"7,803,272","14,908,032","34,492,059","15,294,787","1,592,125","74,090,275"
- 취득원가,"7,803,624","23,486,138","127,459,572","15,294,787","3,312,418","177,356,539"
- 감가상각누계액 (손상차손누계액 포함),(352),"(8,578,106)","(92,967,513)",-,"(1,720,293)","(103,266,264)"
