구 분,당기,전기
매출채권의 감소(증가),"12,354,628","(8,102,318)"
미수금의 감소(증가),"(711,933)","54,306"
장단기선급비용의 감소(증가),"11,033","(198,371)"
재고자산의 감소(증가),"(14,337,291)","(2,732,143)"
매입채무의 증가(감소),"(2,494,560)","4,935,529"
장단기미지급금의 증가(감소),"1,522,457","1,004,128"
선수금의 증가(감소),"(154,042)","50,363"
예수금의 증가(감소),"(101,231)","191,872"
미지급비용의 증가(감소),"88,828","920,919"
장단기충당부채의 증가(감소),"74,664","1,570,118"
퇴직금의 지급,"(492,366)","(405,203)"
사외적립자산의 감소(증가),"(1,402,489)","(2,363,367)"
기타,"(1,225,967)","(707,488)"
계,"(6,868,269)","(5,781,655)"
