구분,기업명,매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이,"652,082",8,"4,361,957","2,502"
Samsung Electronics America(SEA),"12,442,825",-,"11,636",-,
Samsung (China) Investment(SCIC),"1,027,846",-,"10,446",-,
Samsung Semiconductor(SSI),"12,978,267",-,"147,989",-,
Samsung Austin Semiconductor(SAS),"21,384","80,912","2,416,114","262,130",
Samsung Electronics Europe Holding(SEEH),"2,185",-,-,-,
Samsung Electronics Vietnam(SEV),"352,753","3,729","22,288,170",-,
Samsung Telecommunications America(STA),"17,110,334",-,"281,826",-,
Samsung Electronics Huizhou(SEHZ),"1,059,420","2,708","12,589,375",-,
Samsung (China) Semiconductor(SCS),380,"6,358",-,-,
Samsung Electronica da Amazonia(SEDA),"1,783,270",-,"30,593",-,
Tianjin Samsung Telecom Technology(TSTC),"1,541,899",-,"2,586,828",14,
Samsung Asia Private(SAPL),"2,999,414",-,"21,154",-,
Samsung India Electronics(SIEL),"2,617,591","3,194","188,861",12,
Samsung Electronics Europe Logistics(SELS),"6,442,298",-,"5,604",-,
Samsung Electronics Slovakia(SESK),"751,333",-,"5,677",-,
Samsung Electronics Mexico(SEM),"2,261,510",-,"495,558",-,
Thai Samsung Electronics(TSE),"1,993,744",-,"1,756,113",-,
Samsung Suzhou LCD(SSL),"8,891",-,-,-,
Samsung Electronics Rus Company(SERC),"3,185,414",-,"4,418",-,
Samsung Electronics (UK)(SEUK),"3,922,079",-,"70,839",-,
Samsung Electronics Taiwan(SET),"2,489,683",-,"1,416",-,
Shanghai Samsung Semiconductor(SSS),"6,728,630",-,-,-,
Samsung Electronics Benelux(SEBN),"1,647,636",-,-,-,
Samsung Electronics Hungarian(SEH),"169,915",-,"4,063",-,
기타,"55,142,168","28,279","24,289,893","16,096",
종속기업 계,"139,332,951","125,188","71,568,530","280,754",
관계기업,삼성에스디에스,"31,065","130,771","1,458,481","263,816"
삼성전기,"71,256",177,"1,207,050",76,
삼성에스엔에스(*),"9,182",-,"137,163","2,397",
삼성테크윈,"2,781",-,"71,706","46,962",
삼성카드,"22,091",-,"14,690",-,
기타,"122,639",-,"144,482","1,105",
관계기업 계,"259,014","130,948","3,033,572","314,356",
