계 정 과 목,누적일시적차이,,,이연법인세자산(부채),,
기초잔액,증감액,기말잔액,기초이연법인세자산(부채),증감액,기말이연법인세자산(부채),
일시적차이로 인한 이연법인세,,,,,,
조세특례제한법상준비금,(368),368,-,(101),101,-
토지재평가,"(3,425,233)","2,953","(3,422,280)","(941,939)",812,"(941,127)"
"종속기업, 관계기업 및 공동기업 투자","(4,028,791)","34,347","(3,994,444)","(782,627)","9,446","(773,181)"
감가상각누계액 등,"212,461","(8,616)","203,845","58,427","(2,370)","56,057"
미수수익,"(128,001)","(105,774)","(233,775)","(35,200)","(29,088)","(64,288)"
충당부채 및 미지급비용 등,"7,387,397","(444,249)","6,943,148","2,031,524","(122,158)","1,909,366"
외화평가조정,"(192,169)","91,320","(100,849)","(52,846)","25,112","(27,734)"
자산손상,"1,305,376","40,921","1,346,297","358,978","11,254","370,232"
퇴직급여,"(1,410,177)","(73,777)","(1,483,954)","(387,799)","(20,288)","(408,087)"
분할시투자주식평가증(*),"10,586,822",-,"10,586,822",-,-,-
기타,"466,524","686,704","1,153,228","208,918","8,028","216,946"
소 계,"10,773,841","224,197","10,998,038","457,335","(119,151)","338,184"
세액공제로 인한 이연법인세,,,,,,
세액공제이월액,"32,634","44,968","77,602","32,634","44,968","77,602"
자본에 직접 가감하는 이연법인세,,,,,,
기타포괄손익-공정가치금융자산평가손익 등,"(149,520)","118,127","(31,393)","(41,118)","32,485","(8,633)"
순확정급여부채 재측정요소,"499,310","399,974","899,284","137,310","109,993","247,303"
소 계,"349,790","518,101","867,891","96,192","142,478","238,670"
,,,,계,,"654,456"
