계 정 과 목,누적일시적차이,,,이연법인세자산(부채),,
기초잔액,증감액,기말잔액,기초이연법인세자산(부채),증감액,기말이연법인세자산(부채),
일시적차이로 인한 이연법인세,,,,,,
조세특례제한법상준비금,"(7,368)","7,000",(368),"(1,783)","1,694",(89)
토지재평가,"(3,455,958)","11,704","(3,444,254)","(836,342)","2,832","(833,510)"
"종속기업, 관계기업 및 공동기업 투자","(3,051,440)","(573,017)","(3,624,457)","(591,713)","15,975","(575,738)"
감가상각누계액 등,"48,262","(5,590)","42,672","11,679","(1,353)","10,326"
미수수익,"(243,034)","7,145","(235,889)","(58,814)","1,729","(57,085)"
충당부채 및 미지급비용 등,"8,257,353","(589,439)","7,667,914","1,998,279","(142,644)","1,855,635"
외화평가조정,"138,267","(97,203)","41,064","33,461","(23,523)","9,938"
자산손상,"402,244","568,937","971,181","97,343","137,683","235,026"
퇴직급여,"(2,304,845)","489,850","(1,814,995)","(557,772)","118,543","(439,229)"
분할시투자주식평가증(*),"10,586,822",-,"10,586,822",-,-,-
기타,"1,553,459","(3,132,876)","(1,579,417)","443,657","(762,186)","(318,529)"
소 계,"11,923,762","(3,313,489)","8,610,273","537,995","(651,250)","(113,255)"
세액공제로 인한 이연법인세,,,,,,
세액공제이월액,"70,363","(4,083)","66,280","66,000","(6,064)","59,936"
자본에 직접 가감하는 이연법인세,,,,,,
매도가능금융자산평가이익 등,"(819,560)","556,170","(263,390)","(198,334)","134,594","(63,740)"
순확정급여부채 재측정요소,"1,901,826","(962,578)","939,248","460,242","(232,944)","227,298"
소 계,"1,082,266","(406,408)","675,858","261,908","(98,350)","163,558"
,,,,계,,"110,239"
