구 분,당기,전기
1. 법인세비용,"2,114,148","2,688,860"
2. 금융수익,"(1,139,219)","(1,326,674)"
3. 금융비용,"794,986","681,752"
4. 퇴직급여,"862,227","913,887"
5. 감가상각비,"10,089,748","9,219,362"
6. 무형자산상각비,"1,000,538","891,528"
7. 대손상각비 등,"156,525","276,343"
8. 배당금수익,"(570,696)","(2,524,861)"
9. 유형자산처분이익,"(191,254)","(98,639)"
10. 유형자산처분손실,"45,766","103,405"
11. 무형자산손상차손,"155,980","56,659"
12. 재고자산평가손실 등,"287,739","446,394"
13. 투자자산처분이익,"(60,326)","(80,712)"
14. 매각예정분류자산처분이익,"(336,777)",-
"15. 기타 수익, 비용","(121,923)","(352,580)"
계,"13,087,462","10,894,724"
