구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이㈜,"234,883","2,475","916,709",-
"Samsung Electronics America, Inc. (SEA)","32,860,328",-,"165,629",-,
"Samsung (China) Semiconductor Co., Ltd. (SCS)","167,937","190,056","7,340,085","9,857",
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)","9,380,604",686,"21,146,962","1,111",
Harman과 그 종속기업(*2),65,-,"48,387",-,
"Samsung Electronics Vietnam Co., Ltd. (SEV)","6,652,988","1,716","15,387,219",317,
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","1,525,639",-,"9,019",-,
"Samsung Semiconductor, Inc. (SSI)","31,894,007",-,"409,852",-,
Samsung Asia Pte. Ltd. (SAPL),18,-,"22,855",-,
Samsung Austin Semiconductor LLC (SAS),598,"1,183","3,703,472","7,511",
Samsung India Electronics Private Ltd. (SIEL),"4,327,075","2,609","3,373,962",-,
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","25,683,936",-,"3,885",-,
"Samsung Display Vietnam Co., Ltd. (SDV)","1,314,121",-,-,-,
Samsung Eletronica da Amazonia Ltda. (SEDA),"3,151,503",403,"8,600",-,
Samsung Electronics (UK) Ltd. (SEUK),"1,535,053",-,"91,821",1,
"Samsung International, Inc. (SII)","417,680",-,"7,721,915",-,
"Thai Samsung Electronics Co., Ltd. (TSE)","1,459,938",-,"2,489,534",-,
"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)","652,277","3,222","5,183,912",900,
"Samsung Electronics Taiwan Co., Ltd. (SET)","4,853,191",-,674,-,
"Samsung Electronics Hungarian Private Co., Ltd. (SEH)","547,190",-,547,-,
Samsung Electronics Europe Logistics B.V. (SELS),"4,294,662",-,"11,007",-,
Samsung Electronics Benelux B.V. (SEBN),"365,818",-,"2,695",-,
Samsung Electronics GmbH (SEG),"3,332,793",-,"7,646",-,
"Samsung Display Dongguan Co., Ltd. (SDD)","288,980",-,-,-,
기타,"53,602,392","10,982","15,648,603","3,784",
계,"188,543,676","213,332","83,694,990","23,481",
