구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이㈜,"283,011",-,"981,927",-
"Samsung Electronics America, Inc. (SEA)","35,303,291",632,"209,912",-,
Samsung Asia Pte. Ltd. (SAPL),42,-,"30,982",-,
Harman과 그 종속기업(*2),-,-,"76,891",-,
"Samsung (China) Semiconductor Co., Ltd. (SCS)","184,796","10,644","9,679,473","5,534",
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)","8,668,668",-,"25,941,259",831,
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","1,588,710",-,"9,035",-,
"Samsung Semiconductor, Inc. (SSI)","40,907,261",-,"532,962",-,
"Samsung Electronics Vietnam Co., Ltd. (SEV)","5,804,935",256,"16,441,332",50,
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),-,-,-,-,
Samsung Austin Semiconductor LLC. (SAS),"1,053",-,"3,663,909","2,457",
"Samsung Display Vietnam Co., Ltd. (SDV)","2,073,972",-,-,-,
Samsung India Electronics Private Ltd. (SIEL),"7,439,341",112,"5,798,974",-,
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","16,490,821",-,47,-,
Samsung Eletronica da Amazonia Ltda. (SEDA),"1,262,369",-,"2,174",-,
"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)","628,854","2,791","4,830,861","1,680",
"Thai Samsung Electronics Co., Ltd. (TSE)","1,578,349",-,"2,615,512",-,
Samsung Electronics (UK) Ltd. (SEUK),"1,529,791",-,"98,891",-,
Samsung Electronics Benelux B.V. (SEBN),"788,385",-,"2,333",-,
Samsung Electronics Hungarian Private Co. Ltd. (SEH),"408,409",141,"2,191",-,
Samsung Electronics Europe Logistics B.V. (SELS),"4,772,554",-,"5,104",-,
"Samsung Display Dongguan Co., Ltd. (SDD)","249,142",-,-,-,
세메스㈜,"8,224",-,"2,283,556",-,
Samsung Electronics GmbH (SEG),"3,865,859",-,"6,948",-,
Samsung Electronics Mexico S.A. De C.V. (SEM),"2,442,869",-,"6,950",-,
기타,"58,705,560","4,198","23,123,295","2,213",
계,"194,986,266","18,774","96,344,518","12,765",
