지역,기업명,업종,지분율(%)(*)
국내,삼성디스플레이,디스플레이 생산 및 판매,84.8
에스유머티리얼스,디스플레이 부품 생산,50.0,
스테코,반도체 부품생산,70.0,
세메스,반도체/FPD제조장비 생산,91.5,
삼성전자서비스,전자제품 수리서비스,99.3,
삼성전자판매,전자제품 판매,100.0,
삼성전자로지텍,종합물류대행,100.0,
삼성메디슨,의료기기,68.5,
SVIC 21호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0,
SVIC 22호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0,
SVIC 23호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0,
SVIC 26호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0,
SVIC 27호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0,
SVIC 28호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0,
SVIC 29호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0,
SVIC 32호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0,
SVIC 33호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0,
SVIC 37호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0,
미래로시스템,반도체 공정불량 및 품질관리소프트웨어 개발 및 공급,99.9,
반도체성장 전문투자형 사모 투자신탁,반도체산업 투자,66.7,
하만인터내셔널코리아,소프트웨어 개발 및 공급 등,100.0,
레드벤드소프트웨어코리아,소프트웨어 개발 및 공급,100.0,
