기업명(*1),자산,부채,매출액,당기순이익(손실)
삼성디스플레이㈜,"47,162,963","7,509,766","28,653,512","1,263,050"
"Samsung Electronics America, Inc.(SEA)","30,681,097","11,862,223","31,171,751","870,814"
"Samsung (CHINA) Investment Co., Ltd.(SCIC)","16,090,629","13,858,532","3,277,050","127,448"
Harman과 그 종속기업(*2),"15,059,925","5,550,558","8,817,792","41,359"
"Samsung Electronics Vietnam Co., Ltd.(SEV)","11,501,682","1,607,991","21,430,638","1,783,410"
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd.(SEVT)","11,360,811","2,209,962","28,340,939","2,047,014"
"Samsung (China) Semiconductor Co., Ltd.(SCS)","10,254,900","1,920,000","4,517,286","1,489,906"
"Samsung Semiconductor, Inc.(SSI)","9,306,621","4,288,544","29,592,773","62,872"
Samsung Electronics Europe Holding Cooperatief U.A.(SEEH),"8,586,022","6,388,302",-,"9,439"
"Samsung Display Vietnam Co., Ltd.(SDV)","8,222,472","6,195,635","19,860,892","1,003,889"
Samsung Asia Private Ltd.(SAPL),"7,630,154","592,916","1,665,436","1,111,559"
"Samsung Electronics Huizhou Co., Ltd.(SEHZ)","6,539,392","586,349","9,780,357","532,767"
Samsung India Electronics Private Ltd.(SIEL),"6,410,825","3,438,807","11,045,500","309,632"
Samsung Electronica da Amazonia Ltda.(SEDA),"6,207,458","1,610,607","6,978,086","778,124"
Samsung Austin Semiconductor LLC.(SAS),"5,642,117","511,596","3,643,739","434,766"
