구 분,당기,전기
매출채권의 감소(증가),"4,368,004","(5,012,981)"
미수금의 감소,"246,398","384,556"
선급금의 감소(증가),"99,297","(285,473)"
장단기선급비용의 (증가)감소,"(1,026,533)","570,413"
재고자산의 증가,"(5,427,821)","(1,898,309)"
매입채무의 증가,"960,315","346,249"
장단기미지급금의 (감소)증가,"(1,071,814)","159,839"
선수금의 증가,608,"13,563"
예수금의 증가,"71,870","111,212"
미지급비용의 (감소)증가,"(415,762)","472,269"
충당부채의 (감소)증가,"(543,568)","151,698"
퇴직금의 지급,"(290,930)","(423,506)"
사외적립자산의 증가,"(445,010)","(64,321)"
기타,"(2,839,019)","11,449"
계,"(6,313,965)","(5,463,342)"
