과 목,주석,제 54 (당) 기,,제 53 (전) 기,
자 산,,,,,
Ⅰ. 유 동 자 산,,,"59,062,658",,"73,553,416"
1. 현금및현금성자산,"4, 28","3,921,593",,"3,918,872",
2. 단기금융상품,"4, 28",137,,"15,000,576",
3. 매출채권,"4, 5, 7, 28","20,503,223",,"33,088,247",
4. 미수금,"4, 7, 28","2,925,006",,"1,832,488",
5. 선급비용,,"1,047,900",,"817,689",
6. 재고자산,8,"27,990,007",,"15,973,053",
7. 기타유동자산,"4, 28","2,674,792",,"2,922,491",
Ⅱ. 비 유 동 자 산,,,"201,021,092",,"177,558,768"
1. 기타포괄손익-공정가치금융자산,"4, 6, 28","1,364,325",,"1,662,532",
2. 당기손익-공정가치금융자산,"4, 6, 28",283,,"2,135",
"3. 종속기업, 관계기업 및 공동기업 투자",9,"57,397,249",,"56,225,599",
4. 유형자산,10,"123,266,986",,"103,667,025",
5. 무형자산,11,"8,561,424",,"8,657,456",
6. 순확정급여자산,14,"4,410,223",,"2,324,291",
7. 이연법인세자산,25,"2,142,512",,"1,211,100",
8. 기타비유동자산,"4, 7, 28","3,878,090",,"3,808,630",
자 산 총 계,,,"260,083,750",,"251,112,184"
부 채,,,,,
Ⅰ. 유 동 부 채,,,"46,086,047",,"53,067,303"
1. 매입채무,"4, 28","8,729,315",,"11,557,441",
2. 단기차입금,"4, 5, 12, 28","2,381,512",,"9,204,268",
3. 미지급금,"4, 28","18,554,543",,"13,206,753",
4. 선수금,17,"320,689",,"474,731",
5. 예수금,"4, 28","523,354",,"624,585",
6. 미지급비용,"4, 17, 28","8,359,296",,"8,275,410",
7. 당기법인세부채,,"2,533,481",,"5,599,896",
8. 유동성장기부채,"4, 12, 13, 28","135,753",,"139,328",
9. 충당부채,15,"4,059,491",,"3,643,853",
10. 기타유동부채,17,"488,613",,"341,038",
Ⅱ. 비 유 동 부 채,,,"4,581,512",,"4,851,149"
1. 사채,"4, 13, 28","24,912",,"29,048",
2. 장기차입금,"4, 12, 28","654,979",,"431,915",
3. 장기미지급금,"4, 28","2,439,232",,"2,653,715",
4. 장기충당부채,15,"1,423,165",,"1,659,774",
5. 기타비유동부채,,"39,224",,"76,697",
부 채 총 계,,,"50,667,559",,"57,918,452"
자 본,,,,,
Ⅰ. 자본금,18,,"897,514",,"897,514"
1. 우선주자본금,,"119,467",,"119,467",
2. 보통주자본금,,"778,047",,"778,047",
Ⅱ. 주식발행초과금,,,"4,403,893",,"4,403,893"
Ⅲ. 이익잉여금,19,,"204,388,016",,"188,774,335"
Ⅳ. 기타자본항목,20,,"(273,232)",,"(882,010)"
자 본 총 계,,,"209,416,191",,"193,193,732"
부 채 와 자 본 총 계,,,"260,083,750",,"251,112,184"
