지역,기업명,업종,지분율(%)(*)
미주,Samsung Next,Holding Company,100.0
Samsung Next Fund,"신기술사업자, 벤처기업 투자",100.0,
Dacor Holdings,Holding Company,100.0,
Dacor,가전제품 생산 및 판매,100.0,
Dacor Canada,가전제품 판매,100.0,
EverythingDacor.com,가전제품 판매,100.0,
Distinctive Appliances of California,가전제품 판매,100.0,
Viv Labs,인공지능관련 신기술 연구,100.0,
SigMast Communications,RCS(Rich Communication Service),100.0,
Harman Becker Automotive Systems,"오디오제품 생산, 판매, R&D",100.0,
Harman Connected Services Engineering,Connected Service Provider,100.0,
"Harman Connected Services, Inc.",Connected Service Provider,100.0,
Harman Connected Services South America,Connected Service Provider,100.0,
Harman da Amazonia Industria Electronica e Participacoes,"오디오제품 생산, 판매",100.0,
Harman de Mexico S. de R.L. de C.V.,오디오제품 생산,100.0,
Harman do Brasil Industria Electronica e Participacoes.,"오디오제품 판매, R&D",100.0,
Harman Financial Group,Management Company,100.0,
Harman International Industries Canada,오디오제품 판매,100.0,
"Harman International Industries, Inc.",Holding Company,100.0,
Harman International Mexico S de RL de CV,오디오제품 판매,100.0,
"Harman Investment Group, LLC",Financing Company,100.0,
"Harman KG Holding, LLC",Holding Company,100.0,
Harman Professional,"오디오제품 판매, R&D",100.0,
Red Bend Software,소프트웨어 디자인,100.0,
Samsung Electronics Home Appliances America(SEHA),가전제품 생산,100.0,
China Materialia,벤처기업 투자,99.0,
Zhilabs Inc,네트워크 Solution 판매,100.0,
