계 정 과 목,누적일시적차이,,,이연법인세자산(부채),,
기초잔액,증감액,기말잔액,기초이연법인세자산(부채),증감액,기말이연법인세자산(부채),
1) 일시적차이로 인한 이연법인세:,,,,,,
토지재평가,"(3,417,804)","(3,082)","(3,420,886)","(939,896)",(848),"(940,744)"
"종속기업, 관계기업 및 공동기업 투자(*1)","(3,994,444)",-,"(3,994,444)","(909,018)",-,"(909,018)"
감가상각누계액 등,"108,447","(622,550)","(514,103)","29,823","(171,202)","(141,379)"
미수수익,"(155,013)","42,203","(112,810)","(42,628)","11,605","(31,023)"
충당부채 및 미지급비용 등,"7,244,548","2,296,196","9,540,744","1,992,251","631,453","2,623,704"
외화평가조정,"(124,453)","72,498","(51,955)","(34,224)","19,936","(14,288)"
자산손상,"1,611,087","133,764","1,744,851","443,049","(43,781)","399,268"
퇴직급여,"(2,702,738)","(1,520,620)","(4,223,358)","(743,253)","(418,171)","(1,161,424)"
분할 시 투자주식 평가증(*2),"10,586,822",-,"10,586,822",-,-,-
기타,"466,776","572,186","1,038,962","(58,136)","173,189","115,053"
소 계,"9,623,228","970,595","10,593,823","(262,032)","202,181","(59,851)"
2) 세액공제로 인한 이연법인세:,,,,,,
세액공제이월액,"247,870","34,672","282,542","247,869","34,673","282,542"
3) 자본에 직접 가감하는 이연법인세:,,,,,,
기타포괄손익-공정가치금융자산평가손익 등,"(134,131)","(128,622)","(262,753)","(36,886)","(35,371)","(72,257)"
순확정급여부채(자산) 재측정요소,"2,175,363","886,277","3,061,640","598,225","243,726","841,951"
소 계,"2,041,232","757,655","2,798,887","561,339","208,355","769,694"
이연법인세자산(부채) 계,,,,"547,176","445,209","992,385"
