기업명(*),당기,,,
자산,부채,매출액,당기순이익,
삼성디스플레이㈜,"65,328,568","7,266,213","27,083,336","8,268,314"
"Samsung Electronics America, Inc. (SEA)","41,926,899","15,322,780","39,551,809","477,338"
Samsung Asia Pte. Ltd. (SAPL),"22,234,942","282,614",-,"14,140,195"
"Samsung (China) Semiconductor Co., Ltd. (SCS)","15,808,283","870,453","8,693,788","877,892"
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","10,222,557","8,797,991","3,148,858","189,887"
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),"9,660,481","4,585,806",-,"103,387"
Samsung India Electronics Private Ltd. (SIEL),"7,738,259","3,373,730","15,216,331","1,153,256"
Samsung Eletronica da Amazonia Ltda. (SEDA),"5,542,627","1,587,911","7,222,304","333,812"
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","5,262,086","4,552,030","15,649,307","244,210"
"Thai Samsung Electronics Co., Ltd. (TSE)","3,039,379","640,512","4,213,492","150,510"
Samsung Electronics (UK) Ltd. (SEUK),"2,902,722","1,976,067","5,859,133","185,113"
세메스㈜,"2,187,919","659,607","2,502,143","58,754"
Samsung Electronics Mexico S.A. De C.V. (SEM),"2,153,032","1,038,115","3,638,080","148,873"
"Samsung Electronics Taiwan Co., Ltd. (SET)","1,797,627","1,139,056","4,108,479","56,467"
Samsung Electronics Benelux B.V. (SEBN),"1,794,552","639,120","2,833,717","140,313"
