구분,기업명,채권 등,채무 등
종속기업,삼성디스플레이,"55,745","140,321"
Samsung Electronics America(SEA),"2,539,420","137,137",
Samsung (China) Investment(SCIC),"71,822","3,259",
Samsung Semiconductor(SSI),"1,524,506","62,882",
Samsung Austin Semiconductor(SAS),"4,485","250,326",
Samsung Electronics Europe Holding(SEEH),"2,130",-,
Samsung Electronics Vietnam(SEV),"194,333","648,521",
Samsung Telecommunications America(STA),"2,810,056","51,193",
Samsung Electronics Huizhou(SEHZ),"340,334","1,619,890",
Samsung (China) Semiconductor(SCS),"16,686",-,
Samsung Electronica da Amazonia(SEDA),"222,887","3,675",
Tianjin Samsung Telecom Technology(TSTC),"371,178","262,534",
Samsung Asia Private(SAPL),"226,480","16,659",
Samsung India Electronics(SIEL),"310,297","44,083",
Samsung Electronics Europe Logistics(SELS),"710,373",282,
Samsung Electronics Slovakia(SESK),"41,688",70,
Samsung Electronics Mexico(SEM),"576,084","1,410",
Thai Samsung Electronics(TSE),"131,876","88,422",
Samsung Suzhou LCD(SSL),"7,047",-,
Samsung Electronics Rus Company(SERC),"317,344","2,443",
Samsung Electronics (UK)(SEUK),"134,578","32,031",
Samsung Electronics Taiwan(SET),"177,115","21,611",
Shanghai Samsung Semiconductor(SSS),"524,896",240,
Samsung Electronics Benelux(SEBN),"105,731","1,151",
Samsung Electronics Hungarian(SEH),"9,605",36,
기타,"6,165,516","2,497,990",
종속기업 계(*1),"17,592,212","5,886,166",
