기업명(*),전기,,,
자산,부채,매출액,당기순이익,
삼성디스플레이㈜,"54,967,156","9,081,737","28,755,975","2,770,060"
"Samsung Electronics America, Inc. (SEA)","42,982,054","19,246,751","42,325,524","823,914"
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","13,599,093","9,685,278","2,615,685","451,062"
"Samsung (China) Semiconductor Co., Ltd. (SCS)","19,049,536","5,168,738","7,341,018","1,708,832"
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),"14,651,496","8,998,502",-,"24,527"
Samsung Asia Pte. Ltd. (SAPL),"14,683,789","58,381",-,"4,668,478"
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","7,765,126","5,799,690","31,326,186","325,397"
Samsung Eletronica da Amazonia Ltda. (SEDA),"4,589,505","1,671,097","6,020,523","490,202"
Samsung India Electronics Private Ltd. (SIEL),"7,765,019","3,236,745","12,222,643","522,672"
"Thai Samsung Electronics Co., Ltd. (TSE)","3,018,358","474,223","4,443,031","142,191"
Samsung Electronics (UK) Ltd. (SEUK),"2,925,062","1,992,367","5,621,922","241,403"
Samsung Electronics GmbH (SEG),"2,289,391","2,228,650","6,385,080","2,158"
"Samsung Electronics Hungarian Private Co., Ltd. (SEH)","2,504,075","641,004","4,357,137","157,616"
Samsung Electronics Benelux B.V. (SEBN),"2,612,357","766,034","2,569,603","284,816"
Samsung Electronics Europe Logistics B.V. (SELS),"2,305,275","2,144,805","14,700,517","13,943"
