구분,당기말,,전기말,
장부금액,공정가치,장부금액,공정가치,
금융자산,,,,
현금및현금성자산,"2,607,957",(*1),"2,763,768",(*1)
단기금융상품,"34,113,871",(*1),"25,510,064",(*1)
매출채권,"24,933,267",(*1),"27,881,777",(*1)
장기매도가능금융자산(*2),-,-,"973,353","895,670"
기타포괄손익-공정가치금융자산,"1,098,565","1,098,565",-,-
당기손익-공정가치금융자산,"7,413","7,413",-,-
기타,"4,630,073",(*1),"3,623,263",(*1)
소계,"67,391,146",,"60,752,225",
금융부채,,,,
매입채무,"7,315,631",(*1),"6,398,629",(*1)
단기차입금,"10,353,873",(*1),"12,229,701",(*1)
미지급금,"8,255,775",(*1),"9,465,685",(*1)
유동성장기부채,"5,440",(*1),"5,201",(*1)
사채,"43,516","57,733","46,808","61,943"
장기미지급금,"2,231,836",(*1),"1,537,329",(*1)
기타,"2,355,676",(*1),"3,549,549",(*1)
소계,"30,561,747",,"33,232,902",
