구 분,당기,,,,
삼성전기㈜,삼성에스디에스㈜,삼성바이오로직스㈜,삼성SDI㈜,㈜제일기획,
요약 재무상태표:,,,,,
유동자산,"4,598,269","7,575,968","2,823,175","7,444,907","2,018,598"
비유동자산,"5,343,105","2,941,464","5,146,835","18,388,286","523,513"
유동부채,"2,234,657","2,370,290","1,107,295","6,461,286","1,224,222"
비유동부채,"835,592","703,442","1,871,614","4,175,208","190,622"
요약 포괄손익계산서:,,,,,
매출,"9,675,036","13,630,002","1,568,007","13,553,220","3,325,712"
계속영업손익(*),"1,055,411","611,171","393,589","1,169,801","165,485"
세후중단영업손익(*),"(162,966)",-,-,-,-
기타포괄손익(*),"151,809","134,163","(1,270)","623,792","32,535"
총포괄손익(*),"1,044,254","745,334","392,319","1,793,593","198,020"
