구 분,당기,전기
매출채권의 감소(증가),"135,029","4,368,004"
미수금의 감소(증가),"(890,448)","246,398"
선급금의 감소(증가),"27,844","99,297"
장단기선급비용의 감소(증가),"(97,988)","(1,026,533)"
재고자산의 감소(증가),"330,937","(5,427,821)"
매입채무의 증가(감소),"316,922","960,315"
장단기미지급금의 증가(감소),"106,124","(1,071,814)"
선수금의 증가(감소),"141,087",608
예수금의 증가(감소),"(189,252)","71,870"
미지급비용의 증가(감소),"(806,961)","(415,762)"
장단기충당부채의 증가(감소),"(159,412)","(543,568)"
퇴직금의 지급,"(246,095)","(290,930)"
사외적립자산의 감소(증가),"(1,607,429)","(445,010)"
기타,"(980,197)","(2,839,019)"
계,"(3,919,839)","(6,313,965)"
