구분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부가액,"6,276,070","11,376,704","17,955,513","11,004,840","615,703","47,228,830"
취득원가,"6,276,070","16,852,926","86,461,021","11,004,840","1,569,937","122,164,794"
감가상각누계액 (손상차손누계액 포함),-,"(5,476,222)","(68,505,508)",-,"(954,234)","(74,935,964)"
일반취득 및 자본적지출,"1,588,975","3,989,253","22,089,776","(1,504,886)","397,138","26,560,256"
감가상각,-,"(904,081)","(9,365,343)",-,"(229,979)","(10,499,403)"
처분/폐기,"(32,156)","(11,906)","(57,689)",-,"(3,018)","(104,769)"
기타,-,"(2,679)","(6,100)","(360,459)","1,285","(367,953)"
기말장부가액,"7,832,889","14,447,291","30,616,157","9,139,495","781,129","62,816,961"
취득원가,"7,832,889","20,818,067","105,582,797","9,139,495","1,840,581","145,213,829"
감가상각누계액 (손상차손누계액 포함),-,"(6,370,776)","(74,966,640)",-,"(1,059,452)","(82,396,868)"
