지역,기업명,업종,지분율(%)(*)
중국,Tianjin Samsung LED(TSLED),LED 생산,100.0
SEMES (Xian),반도체 장비,100.0,
Samsung Semiconductor Xian(SSCX),반도체/디스플레이 판매,100.0,
Harman (China) Technologies,오디오제품 생산,100.0,
Harman (Suzhou) Audio and Infotainment Systems,오디오제품 판매,100.0,
Harman Automotive Electronic Systems (Suzhou),"오디오제품 생산, R&D",100.0,
Harman Commercial (Shanghai),오디오제품 판매,100.0,
Harman Connected Services Taiwan,Connected Service Provider,100.0,
Harman Holding,오디오제품 판매,100.0,
Harman International (China) Holdings,"오디오제품 판매, R&D",100.0,
Harman Automotive InfoTech (Dalian)(구 Harman NeusoftAutomotive Infotech (Dalian)),소프트웨어 개발 및 공급,100.0,
Harman Technology (Shenzhen),"오디오제품 판매, R&D",100.0,
Harman Connected Services Solutions (Beijing),Connected Service Provider,100.0,
Harman Connected Services Solutions (Chengdu),Connected Service Provider,100.0,
