구 분,당기말,,전기말,
장부금액,공정가치,장부금액,공정가치,
금융자산:,,,,
현금및현금성자산,"3,918,872",(*1),"989,045",(*1)
단기금융상품,"15,000,576",(*1),"29,101,284",(*1)
매출채권,"33,088,247",(*1),"24,736,740",(*1)
기타포괄손익-공정가치금융자산,"1,662,532","1,662,532","1,539,659","1,539,659"
당기손익-공정가치금융자산,"2,135","2,135","3,107","3,107"
기타,"5,076,418",(*1),"4,149,950",(*1)
계,"58,748,780",,"60,519,785",
금융부채:,,,,
매입채무,"11,557,441",(*1),"6,599,025",(*1)
단기차입금,"9,204,268",(*1),"12,520,367",(*1)
미지급금,"12,948,960",(*1),"9,671,280",(*1)
유동성장기부채,"139,328","6,276","87,571","5,318"
- 유동성장기차입금,"133,518",(*2),"82,253",(*2)
- 유동성사채,"5,810","6,276","5,318","5,318"
사채,"29,048","35,863","31,909","36,507"
장기차입금,"431,915",(*2),"150,397",(*2)
장기미지급금,"2,335,218",(*1),"935,038",(*1)
기타,"3,056,156",(*1),"3,423,251",(*1)
계,"39,702,334",,"33,418,838",
