구분,당기말,,전기말,
장부금액,공정가치,장부금액,공정가치,
금융자산,,,,
현금및현금성자산,"3,778,371",(*1),"3,062,960",(*1)
단기금융상품,"30,170,656",(*1),"27,763,589",(*1)
단기매도가능금융자산,-,-,"3,021,210","3,021,210"
매출채권,"23,514,012",(*1),"20,251,464",(*1)
장기매도가능금융자산(*2),"913,989","821,478","3,205,283","3,205,283"
기타(*3),"3,416,654","361,226","3,847,347","515,317"
소계,"61,793,682",,"61,151,853",
금융부채,,,,
매입채무,"6,162,650",(*1),"3,887,983",(*1)
단기차입금,"9,061,167",(*1),"7,127,527",(*1)
미지급금,"7,519,413",(*1),"5,834,965",(*1)
유동성장기부채,"5,854",(*1),"5,666",(*1)
사채,"58,542","76,129","62,326","93,661"
장기미지급금,"2,585,366","2,587,619","2,163,903","2,026,498"
기타,"6,037,993",(*1),"3,335,895",(*1)
소계,"31,430,985",,"22,418,265",
