과 목,제 50 (당) 기,,제 49 (전) 기,
Ⅰ. 미처분이익잉여금,,"18,556,368",,"14,031,533"
1. 전기이월이익잉여금,30,,31,
2. 회계정책변경누적효과 등,"58,324",,-,
"3. 분기배당금 당기 - 주당배당금(률) : 1,062원(1062%) 전기 - 주당배당금(률) : 21,000원(420%)","(7,213,815)",,"(2,896,772)",
4. 자기주식 소각,"(7,103,298)",,"(11,872,563)",
5. 당기순이익,"32,815,127",,"28,800,837",
Ⅱ. 임의적립금 등의 이입액,,-,,-
Ⅲ. 이익잉여금처분액,,"18,556,338",,"14,031,503"
1. 기업합리화적립금,"5,000,000",,"3,000,000",
"2. 배당금 주당배당금(률) 당기 - 보통주 : 354원(354%) 우선주 : 355원(355%) 전기 - 보통주 : 21,500원(430%) 우선주 : 21,550원(431%)","2,405,428",,"2,929,530",
3. 연구및인력개발준비금,"10,000,000",,"8,000,000",
4. 시설적립금,"1,150,910",,"101,973",
Ⅳ. 차기이월미처분이익잉여금,,30,,30
