지역,기업명,업종,지분율(%)(*)
유럽/CIS,Samsung Electronics Caucasus(SECC),마케팅,100.0
Harman Connected Services OOO,Connected Service Provider,100.0,
Harman RUS CIS LLC,오디오제품 판매,100.0,
AKG Acoustics,"오디오제품 생산, 판매",100.0,
AMX UK,오디오제품 판매,100.0,
Duran Audio B.V.,"오디오제품 판매, R&D",100.0,
Duran Audio Iberia Espana,오디오제품 판매,100.0,
Harman Automotive UK,오디오제품 생산,100.0,
Harman Becker Automotive Systems (Germany),"오디오제품 생산, 판매, R&D",100.0,
Harman Becker Automotive Systems Italy,오디오제품 판매,100.0,
Harman Becker Automotive Systems Manufacturing Kft,"오디오제품 생산, R&D",100.0,
Harman Belgium,오디오제품 판매,100.0,
Harman Connected Services AB.,Connected Service Provider,100.0,
Harman Finland OY,Connected Service Provider,100.0,
Harman Connected Services (Germany),Connected Service Provider,100.0,
Harman Connected Services,Connected Service Provider,100.0,
Harman Connected Services Poland Sp.zoo,Connected Service Provider,100.0,
Harman Connected Services UK,Connected Service Provider,100.0,
Harman Consumer Nederland B.V.,오디오제품 판매,100.0,
Harman Deutschland,오디오제품 판매,100.0,
Harman Finance International GP S.a.r.l,Holding Company,100.0,
Harman Finance International SCA,Financing Company,100.0,
Harman France SNC,오디오제품 판매,100.0,
Harman Holding & Co. KG,Management Company,100.0,
Harman Hungary Financing,Financing Company,100.0,
Harman Inc. & Co. KG,Holding Company,100.0,
Harman International Estonia OU,R&D,100.0,
