지역,기업명,업종,지분율(%)(*)
미주,"Samsung Electronics America, Inc. (SEA)",전자제품 판매,100.0
"Samsung International, Inc. (SII)",전자제품 생산,100.0,
Samsung Mexicana S.A. de C.V (SAMEX),전자제품 생산,100.0,
"Samsung Electronics Home Appliances America, LLC (SEHA)",가전제품 생산,100.0,
"Samsung Research America, Inc (SRA)",R&D,100.0,
Samsung Next LLC (SNX),해외자회사 관리,100.0,
Samsung Next Fund LLC (SNXF),"신기술사업자, 벤처기업 투자",100.0,
NeuroLogica Corp.,의료기기 생산 및 판매,100.0,
"Samsung HVAC America, LLC",에어컨공조 판매,100.0,
"Prismview, LLC",LED 디스플레이 생산 및 판매,100.0,
"Joyent, Inc.",클라우드서비스,100.0,
"Viv Labs, Inc.",인공지능서비스,100.0,
"Dacor Holdings, Inc.",해외자회사 관리,100.0,
"Dacor, Inc.",가전제품 생산 및 판매,100.0,
Dacor Canada Co.,가전제품 판매,100.0,
"SmartThings, Inc.",스마트홈 플랫폼,100.0,
"TeleWorld Solutions, Inc. (TWS)",네트워크장비 설치 및 최적화,100.0,
"TWS LATAM B, LLC",해외자회사 관리,100.0,
"TWS LATAM S, LLC",해외자회사 관리,100.0,
"SNB Technologies, Inc. Mexico, S.A. de C.V",네트워크장비 설치 및 최적화,100.0,
Zhilabs Inc.,네트워크Solution 판매,100.0,
"Samsung Semiconductor, Inc. (SSI)",반도체ㆍDP 판매,100.0,
Samsung Austin Semiconductor LLC. (SAS),반도체 생산,100.0,
"Samsung Oak Holdings, Inc. (SHI)",해외자회사 관리,100.0,
"Stellus Technologies, Inc.",반도체 시스템 생산 및 판매,100.0,
"SEMES America, Inc.",반도체 장비 서비스,100.0,
