과 목,주석,제 49 (당) 기,,제 48 (전) 기,
Ⅰ. 영업활동 현금흐름,,,"38,906,190",,"23,984,804"
1. 영업에서 창출된 현금흐름,,"41,350,471",,"24,901,464",
가. 당기순이익,,"28,800,837",,"11,579,749",
나. 조정,30,"18,012,976",,"14,910,093",
다. 영업활동으로 인한 자산부채의 변동,30,"(5,463,342)",,"(1,588,378)",
2. 이자의 수취,,"491,501",,"622,118",
3. 이자의 지급,,"(265,364)",,"(208,010)",
4. 배당금 수입,,"1,118,779",,"903,758",
5. 법인세 납부액,,"(3,789,197)",,"(2,234,526)",
Ⅱ. 투자활동 현금흐름,,,"(28,118,806)",,"(14,240,450)"
1. 단기금융상품의 순감소(증가),,"2,960,592",,"(1,407,068)",
2. 단기매도가능금융자산의 처분,,-,,"3,010,003",
3. 장기금융상품의 처분,,"1,700,000",,"700,000",
4. 장기금융상품의 취득,,"(500,000)",,"(1,700,000)",
5. 장기매도가능금융자산의 처분,,"98,265",,"692,547",
6. 장기매도가능금융자산의 취득,,"(163,765)",,"(477,744)",
"7. 종속기업, 관계기업 및 공동기업 투자의 처분",,"1,438,362",,"2,416,678",
"8. 종속기업, 관계기업 및 공동기업 투자의 취득",,"(7,492,843)",,"(4,648,008)",
9. 유형자산의 처분,,"244,033",,"335,288",
10. 유형자산의 취득,,"(25,641,229)",,"(12,161,084)",
11. 무형자산의 처분,,456,,"6,357",
12. 무형자산의 취득,,"(843,096)",,"(1,046,676)",
13. 현금의 기타유입,,"80,419",,"39,257",
Ⅲ. 재무활동 현금흐름,,,"(11,801,987)",,"(9,037,006)"
1. 단기차입금의 순증가,,"3,300,611",,"1,737,871",
2. 자기주식의 취득,,"(8,350,424)",,"(7,707,938)",
3. 사채의 상환,,"(6,043)",,"(5,860)",
4. 배당금의 지급,,"(6,746,131)",,"(3,061,079)",
Ⅳ. 외화환산으로 인한 현금의 변동,,,-,,"8,063"
Ⅴ. 현금및현금성자산의 (감소)증가 (Ⅰ+Ⅱ+Ⅲ+Ⅳ),,,"(1,014,603)",,"715,411"
Ⅵ. 기초의 현금및현금성자산,,,"3,778,371",,"3,062,960"
Ⅶ. 기말의 현금및현금성자산,,,"2,763,768",,"3,778,371"
