구분,당기말,,전기말,
장부금액,공정가치,장부금액,공정가치,
금융자산,,,,
현금및현금성자산,"2,081,917",(*1),"2,607,957",(*1)
단기금융상품,"26,501,392",(*1),"34,113,871",(*1)
매출채권,"26,255,438",(*1),"24,933,267",(*1)
기타포괄손익-공정가치금융자산,"1,206,080","1,206,080","1,098,565","1,098,565"
당기손익-공정가치금융자산,"3,181","3,181","7,413","7,413"
기타,"4,307,370",(*1),"4,630,073",(*1)
소계,"60,355,378",,"67,391,146",
금융부채,,,,
매입채무,"7,547,273",(*1),"7,315,631",(*1)
단기차입금,"10,228,216",(*1),"10,353,873",(*1)
미지급금,"9,031,752",(*1),"8,255,775",(*1)
유동성장기부채,"153,942",(*1)(*2),"5,440",(*1)
사채,"39,520","52,144","43,516","57,733"
장기차입금,"174,651",(*2),-,-
장기미지급금,"1,305,278",(*1),"2,231,836",(*1)
기타,"2,458,165",(*1),"2,355,676",(*1)
소계,"30,938,797",,"30,561,747",
