계 정 과 목,누적일시적차이,,,이연법인세자산(부채),,
기초잔액,증감액,기말잔액,기초이연법인세자산(부채),증감액,기말이연법인세자산(부채),
일시적차이로 인한 이연법인세,,,,,,
조세특례제한법상준비금,"(33,097)","5,312","(27,785)","(8,010)","1,286","(6,724)"
토지재평가,"(3,477,691)","1,587","(3,476,104)","(841,601)",384,"(841,217)"
"종속기업, 관계기업 및 공동기업 투자","(3,505,141)","44,067","(3,461,074)","(696,612)","11,168","(685,444)"
감가상각누계액등,"119,272","(55,810)","63,462","28,864","(13,506)","15,358"
미수수익,"(112,135)","(206,240)","(318,375)","(27,137)","(49,910)","(77,047)"
충당부채 및 미지급비용 등,"6,638,333","1,399,410","8,037,743","1,606,477","338,657","1,945,134"
외화평가조정,"(129,565)","(69,090)","(198,655)","(31,355)","(16,719)","(48,074)"
자산손상,"123,635","42,395","166,030","29,920","10,259","40,179"
분할시투자주식평가증(*),"10,586,822",-,"10,586,822",-,-,-
기타,"(12,673,224)","(103,195)","(12,776,419)","(587,826)","(2,435,756)","(3,023,582)"
소 계,"(2,462,791)","1,058,436","(1,404,355)","(527,280)","(2,154,137)","(2,681,417)"
세액공제로 인한 이연법인세,,,,,,
세액공제이월액,"940,685","(60,372)","880,313","949,658","(28,490)","921,168"
자본에 직접 가감하는 이연법인세,,,,,,
매도가능금융자산평가이익 등,"(2,382,128)","137,187","(2,244,941)","(576,475)","33,199","(543,276)"
보험수리적평가,"1,224,838","218,775","1,443,613","296,411","52,943","349,354"
소 계,"(1,157,290)","355,962","(801,328)","(280,064)","86,142","(193,922)"
,,,,합 계,,"(1,954,171)"
