구 분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부금액,"7,803,272","14,908,032","34,492,059","15,294,787","1,592,125","74,090,275"
- 취득원가,"7,803,624","23,486,138","127,459,572","15,294,787","3,312,418","177,356,539"
- 감가상각누계액(손상 포함),(352),"(8,578,106)","(92,967,513)",-,"(1,720,293)","(103,266,264)"
일반취득 및 자본적지출,"2,254","5,569,437","23,651,596","(1,233,051)","445,494","28,435,730"
감가상각,(472),"(1,378,486)","(14,263,941)",-,"(482,631)","(16,125,530)"
처분ㆍ폐기,"(4,878)","(6,526)","(128,181)",-,"(21,121)","(160,706)"
기타,259,"(5,323)","(1,924)","(67,477)","1,620","(72,845)"
기말장부금액,"7,800,435","19,087,134","43,749,609","13,994,259","1,535,487","86,166,924"
- 취득원가,"7,801,259","28,992,675","146,778,918","13,994,259","3,535,985","201,103,096"
- 감가상각누계액(손상 포함),(824),"(9,905,541)","(103,029,309)",-,"(2,000,498)","(114,936,172)"
