구분,당기말,,전기말,
장부금액,공정가치,장부금액,공정가치,
금융자산,,,,
현금및현금성자산,"3,062,960",(*),"1,643,318",(*)
단기금융상품,"27,763,589",(*),"26,454,093",(*)
단기매도가능금융자산,"3,021,210","3,021,210","2,137,533","2,137,533"
매출채권,"20,251,464",(*),"18,940,786",(*)
장기매도가능금융자산,"3,205,283","3,205,283","7,106,234","7,106,234"
기타,"3,847,347","3,726,699","4,884,383","4,861,921"
소계,"61,151,853",,"61,166,347",
금융부채,,,,
매입채무,"3,887,983",(*),"4,677,527",(*)
단기차입금,"7,127,527",(*),"2,928,182",(*)
미지급금,"5,834,965",(*),"6,358,319",(*)
유동성장기부채,"5,666",(*),"5,304",(*)
사채,"62,326","93,661","63,648","84,792"
장기미지급금,"2,163,903","2,026,498","2,305,055","2,390,956"
기타,"3,335,895",(*),"6,952,651",(*)
소계,"22,418,265",,"23,290,686",
