구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이,"278,032",79,"1,098,062",41
Samsung Electronics America(SEA),"27,246,032",-,"174,849",-,
"Harman International Industries, Inc.(*2)",-,-,"16,157",-,
Samsung (China) Investment(SCIC),"304,640",-,"7,393",-,
Samsung Display Vietnam(SDV),"1,195,236",-,-,-,
Samsung Semiconductor(SSI),"24,779,232",-,"412,473",-,
Samsung Electronics Vietnam THAINGUYEN(SEVT),"4,767,103",535,"14,008,235",287,
Samsung Electronics Vietnam(SEV),"3,395,513","3,723","9,627,343","1,210",
Samsung Electronics Europe Holding(SEEH),-,-,-,-,
Samsung (China) Semiconductor(SCS),"359,197","27,005","4,513,168","30,803",
Samsung Electronics Huizhou(SEHZ),"1,858,320",19,"10,607,639",261,
Samsung India Electronics(SIEL),"3,159,903",-,"188,076",-,
Samsung Asia Private(SAPL),"1,815,733",-,"17,867",-,
Samsung Electronica da Amazonia(SEDA),"1,351,802",203,"11,002",-,
Shanghai Samsung Semiconductor(SSS),"17,175,980",-,-,-,
Samsung Austin Semiconductor(SAS),557,"67,379","3,473,547","4,495",
Thai Samsung Electronics(TSE),"1,873,213",928,"2,031,006",-,
Samsung Electronics Slovakia(SESK),"870,500",325,"3,063",179,
Samsung Suzhou LCD(SSL),"35,818",-,-,-,
Samsung Electronics Europe Logistics(SELS),"3,109,695",-,"16,326",-,
Samsung Electronics Hungarian(SEH),"288,328",368,"1,437",-,
Samsung Electronics HCMC CE Complex(SEHC),"563,927",562,"2,774,317",-,
Samsung Electronics GmbH(SEG),"3,449,542",-,"25,699",-,
Samsung Electronics (UK)(SEUK),"302,114",-,"60,618",433,
Samsung Electronics Indonesia(SEIN),"1,196,099",78,"701,164",55,
기타,"44,443,049","12,299","21,593,582","10,183",
종속기업 계,"143,819,565","113,503","71,363,023","47,947",
