구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이㈜,"196,823",-,"1,016,635",99
"Samsung Electronics America, Inc. (SEA)","26,957,506",-,"169,209",-,
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)","5,604,586",160,"17,562,566","1,666",
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","1,258,362",-,"16,121",-,
Harman과 그 종속기업(*2),82,-,"96,868",-,
"Samsung (China) Semiconductor Co., Ltd. (SCS)","151,476","266,135","5,321,169","6,447",
"Samsung Electronics Vietnam Co., Ltd. (SEV)","3,996,320","2,650","13,734,647","1,355",
"Samsung Semiconductor, Inc. (SSI)","20,816,043",-,"433,784",330,
Samsung Asia Pte. Ltd. (SAPL),"1,623,597",-,"30,383",-,
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","19,538,264",-,"205,749",-,
"Samsung Display Vietnam Co., Ltd. (SDV)","1,155,048",-,-,-,
Samsung Austin Semiconductor LLC (SAS),768,"62,423","3,913,100","1,863",
Samsung Eletronica da Amazonia Ltda. (SEDA),"1,043,819",243,"5,089",-,
Samsung India Electronics Private Ltd. (SIEL),"3,839,831",-,"2,613,913",-,
"Thai Samsung Electronics Co., Ltd. (TSE)","1,234,284",-,"2,002,528",-,
Samsung Electronics (UK) Ltd. (SEUK),"888,317",-,"105,904",-,
Samsung Electronics GmbH (SEG),"3,560,864",-,"8,158",-,
"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)","709,713",-,"5,249,002",31,
"Samsung Electronics Hungarian Private Co., Ltd. (SEH)","884,255",-,"1,849",-,
Samsung Electronics Benelux B.V. (SEBN),"200,787",-,"2,611",-,
"Samsung Display Dongguan Co., Ltd. (SDD)","79,708",-,-,-,
Samsung Electronics Europe Logistics B.V. (SELS),"4,047,574",-,"8,728",-,
Samsung Electronics France S.A.S (SEF),"2,034,589",-,"4,367",-,
Samsung Japan Corporation (SJC),"2,526,771",-,"7,163",-,
기타,"42,074,984","13,361","19,651,006","14,732",
계,"144,424,371","344,972","72,160,549","26,523",
