구분,기업명,매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업 및 공동기업,삼성에스디에스,"36,930",-,"1,403,488","159,494"
삼성전기,"14,946",23,"844,338",-,
삼성SDI(*1),"44,777",397,"282,032","16,210",
제일기획(*2),466,-,"212,393",-,
기타,"201,760",113,"374,384","3,793",
관계기업 및 공동기업 계,"298,879",533,"3,116,635","179,497",
그 밖의특수관계자,삼성물산(*3),"39,780",74,"187,615","2,662,091"
기타,"207,580","1,557,589","326,894","50,833",
그 밖의 특수관계자 계,"247,360","1,557,663","514,509","2,712,924",
기타(*4),삼성엔지니어링,"15,465",-,"15,733","1,078,940"
에스원,"23,670",-,"257,397","23,459",
기타,"46,945","83,298","608,229",60,
기타 계,"86,080","83,298","881,359","1,102,459",
